year,ncessch,school_name,state_location,lea_name,school_level,school_type,charter,enrollment,teachers_fte,school_id,street_location,city_location,fips,longitude,latitude,tract,county_fips_geo,place_fips,free_or_reduced_price_lunch,meps_poverty_pct,meps_poverty_se,meps_poverty_ptl,meps_mod_poverty_pct,meps_mod_poverty_ptl,read_test_pct_prof_midpt,math_test_pct_prof_midpt,salaries_teachers
mixed - most recent,370297003103,Berewick Elementary School,NC,Charlotte-Mecklenburg Schools,Primary,Regular school,No,675,44,3703103,5910 Dixie River Rd,Charlotte,North Carolina,-80.9788,35.1739,5906,37119,,191,13.1,0.573081,38,13,42,30,26,1960711
mixed - most recent,370297001195,Berryhill Elementary School,NC,Charlotte-Mecklenburg Schools,Primary,Regular school,No,427,36,3701195,10501 Windy Grove Rd,Charlotte,North Carolina,-80.9905,35.2128,5906,37119,,424,32.3,0.951876,97,32.2,92,29,16,2089184
mixed - most recent,370297001196,Beverly Woods Elementary School,NC,Charlotte-Mecklenburg Schools,Primary,Regular school,No,603,41,3701196,6001 Quail Hollow Rd,Charlotte,North Carolina,-80.8368,35.1314,3006,37119,12000,56,0.7,1.045565,5,0.6,3,68,76,2313675
mixed - most recent,370297001201,Billingsville Elementary School,NC,Charlotte-Mecklenburg Schools,Primary,Regular school,No,320,26,3701201,124 Skyland Ave,Charlotte,North Carolina,-80.8096,35.1964,2300,37119,12000,139,26.5,1.297779,83,26.4,81,,,1083860
mixed - most recent,370297002397,Blythe Elementary School,NC,Charlotte-Mecklenburg Schools,Primary,Regular school,No,856,53,3702397,12202 Hambright Rd,Huntersville,North Carolina,-80.8353,35.3764,6302,37119,33120,252,15.1,1.005728,45,15,49,45,39,3207553
mixed - most recent,370297001198,Briarwood Academy,NC,Charlotte-Mecklenburg Schools,Primary,Regular school,No,679,41,3701198,1001 Wilann Dr,Charlotte,North Carolina,-80.7657,35.252,1509,37119,12000,676,32.8,0.999048,98,32.7,92,22,28,2283556
mixed - most recent,370297001253,Bruns Avenue Elementary School,NC,Charlotte-Mecklenburg Schools,Primary,Regular school,No,308,26,3701253,501 S. Bruns Ave,Charlotte,North Carolina,-80.8649,35.2391,4100,37119,12000,305,33.5,0.99025,99,33.4,93,7.5,7.5,2421648
mixed - most recent,370297002324,Butler High School,NC,Charlotte-Mecklenburg Schools,High,Regular school,No,1965,104,3702324,1810 Matthews-Mint Hill Rd,Matthews,North Carolina,-80.6916,35.1203,5712,37119,41960,416,11,0.472484,31,10.9,36,63,73,6062834
mixed - most recent,370297001200,Carmel Middle School,NC,Charlotte-Mecklenburg Schools,Middle,Regular school,No,1159,67,3701200,5001 Camilla Dr,Charlotte,North Carolina,-80.8044,35.1289,3007,37119,12000,238,3.1,1.320393,9,3,9,48,47,2824489
mixed - most recent,370297003000,Cato Middle College High School,NC,Charlotte-Mecklenburg Schools,High,Regular school,No,166,4,3703000,8120 Grier Rd   Suite 171-B,Charlotte,North Carolina,-80.7312,35.2649,5616,37119,12000,31,11.2,0.645146,32,11.1,37,Suppressed data,90,218367
mixed - most recent,370297002782,Chantilly Montessori,NC,Charlotte-Mecklenburg Schools,Primary,Regular school,No,302,19,3702782,701 Briar Creek Rd,Charlotte,North Carolina,-80.8003,35.2077,1801,37119,12000,18,8.2,1.075015,22,8.1,27,72,62,1042008
mixed - most recent,370297003315,Charlotte Engineering Early College,NC,Charlotte-Mecklenburg Schools,High,Regular school,No,299,14,3703315,9000 Robert Snyder Rd,Charlotte,North Carolina,-80.744073,35.308908,5604,37119,12000,55,12.7,1.0137,37,12.6,41,87,95,782971
mixed - most recent,370297003405,Charlotte-Mecklenburg Virtual High School,NC,Charlotte-Mecklenburg Schools,High,Regular school,No,795,17,3703405,1900 Newcastle St,Charlotte,North Carolina,-80.842213,35.258941,4800,37119,12000,273,,,,,,74.5,69.5,271051
mixed - most recent,370297001194,Charles H. Parker Academic Center,NC,Charlotte-Mecklenburg Schools,Primary,Regular school,No,473,37,3701194,1546 Walton Rd,Charlotte,North Carolina,-80.8888,35.2104,3902,37119,12000,470,34,1.081781,99,33.9,94,53,51,2082751
mixed - most recent,370297003467,Charlotte East Language Academy,NC,Charlotte-Mecklenburg Schools,Primary,Regular school,No,743,58,3703467,6108 Wilora Lake Rd,Charlotte,North Carolina,-80.747764,35.209308,1607,37119,12000,736,34.5,1.075412,100,34.4,94,21,20,
mixed - most recent,370297003418,Charlotte Teacher Early College,NC,Charlotte-Mecklenburg Schools,High,Regular school,No,206,5,3703418,9000 Robert D. Snyder Rd,Charlotte,North Carolina,-80.744073,35.308908,5604,37119,12000,55,12.3,0.539998,36,12.2,40,74.5,95,153569
mixed - most recent,370297002169,Charlotte-Mecklenburg Academy,NC,Charlotte-Mecklenburg Schools,Other,Special education school,No,74,22,3702169,5833 Millhaven Lane,Charlotte,North Carolina,-80.845923,35.300201,5401,37119,12000,71,21.2,1.607884,67,21.1,67,5,5,433997
mixed - most recent,370297003611,Charlotte-Mecklenburg Virtual Elementary School,NC,Charlotte-Mecklenburg Schools,Primary,Regular school,No,864,35,3703611,1900 Newcastle St,Charlotte,North Carolina,-80.900227,35.155297,3806,37119,12000,280,,,,,,,,
mixed - most recent,370297003612,Charlotte-Mecklenburg Virtual Middle School,NC,Charlotte-Mecklenburg Schools,Middle,Regular school,No,946,19,3703612,1900 Newcastle St,Charlotte,North Carolina,-80.900227,35.155297,3806,37119,12000,388,,,,,,,,
mixed - most recent,370297001202,Clear Creek Elementary School,NC,Charlotte-Mecklenburg Schools,Primary,Regular school,No,462,28,3701202,13501 Albemarle Rd,Charlotte,North Carolina,-80.6252,35.2238,5621,37119,,152,16.3,0.574342,49,16.2,53,36,33,1745856
mixed - most recent,370297001203,Cochrane Collegiate Academy,NC,Charlotte-Mecklenburg Schools,High,Regular school,No,890,55,3701203,6200 Starhaven Dr,Charlotte,North Carolina,-80.7501,35.2465,1507,37119,12000,887,34,1.134078,99,33.9,94,21,13,2659704
mixed - most recent,370297001204,Collinswood Language Academy,NC,Charlotte-Mecklenburg Schools,Primary,Regular school,No,789,50,3701204,5621 Flagstaff Drive,Charlotte,North Carolina,-80.87099,35.16132,3102,37119,12000,108,17.2,0.709162,52,17.1,56,54,41,2443035
mixed - most recent,370297002783,Community House Middle School,NC,Charlotte-Mecklenburg Schools,Middle,Regular school,No,1498,84,3702783,9500 Community House Rd,Charlotte,North Carolina,-80.824,35.0361,5843,37119,12000,95,1.4,0.789175,6,1.3,4,77,76,4617109
mixed - most recent,370297001205,Cornelius Elementary School,NC,Charlotte-Mecklenburg Schools,Primary,Regular school,No,554,37,3701205,21126 Catawba Ave,Cornelius,North Carolina,-80.863997,35.481907,6406,37119,14700,102,9.5,0.468447,26,9.3,31,55,60,1674380
mixed - most recent,370297001206,Cotswold Elementary School,NC,Charlotte-Mecklenburg Schools,Primary,Regular school,No,391,27,3701206,300 Greenwich Rd,Charlotte,North Carolina,-80.7976,35.1793,2200,37119,12000,170,24.5,1.789088,78,24.4,76,39,39,2448620
mixed - most recent,370297001207,Coulwood STEM Academy,NC,Charlotte-Mecklenburg Schools,Middle,Regular school,No,625,45,3701207,500 Kentberry Dr,Charlotte,North Carolina,-80.9447,35.3039,6010,37119,12000,622,30.7,1.178543,94,30.6,89,39,31,2337847
mixed - most recent,370297002394,Crestdale Middle School,NC,Charlotte-Mecklenburg Schools,Middle,Regular school,No,988,54,3702394,940 Sam Newell Rd,Matthews,North Carolina,-80.7181,35.1287,5812,37119,41960,175,10.2,0.939267,28,10.1,33,58,57,2059057
mixed - most recent,370297003034,Croft Community Elementary School,NC,Charlotte-Mecklenburg Schools,Primary,Regular school,No,420,25,3703034,4911 Hucks Rd,Charlotte,North Carolina,-80.8047,35.3465,5508,37119,12000,151,12.9,0.597947,38,12.8,42,47,37,1405397
mixed - most recent,370297000813,Crown Point Elementary School,NC,Charlotte-Mecklenburg Schools,Primary,Regular school,No,529,32,3700813,3335 Sam Newell Rd,Matthews,North Carolina,-80.715,35.1599,5717,37119,41960,187,17.2,0.708291,52,17.1,56,43,49,1871802
mixed - most recent,370297000868,David Cox Road Elementary School,NC,Charlotte-Mecklenburg Schools,Primary,Regular school,No,697,42,3700868,4215 David Cox Rd,Charlotte,North Carolina,-80.8009,35.3368,5511,37119,12000,694,29.2,1.150175,90,29.1,87,22,13,1784123
mixed - most recent,370297001208,Davidson Kñ8 School,NC,Charlotte-Mecklenburg Schools,Primary,Regular school,No,1103,66,3701208,635 South St,Davidson,North Carolina,-80.8484,35.4898,6403,37119,16400,53,2.4,0.826526,8,2.3,7,75,72,2046993
mixed - most recent,370297001210,Devonshire Elementary School,NC,Charlotte-Mecklenburg Schools,Primary,Regular school,No,544,39,3701210,6500 Barrington Dr,Charlotte,North Carolina,-80.746,35.2451,1507,37119,12000,541,32.6,0.958834,98,32.5,92,14,14,1862244
mixed - most recent,370297001268,Dilworth Elementary School: Sedgefield Campus,NC,Charlotte-Mecklenburg Schools,Primary,Regular school,No,346,24,3701268,715 Hartford Ave,Charlotte,North Carolina,-80.8634,35.1903,3204,37119,12000,44,13.1,0.611418,38,13,43,,,1118497
mixed - most recent,370297003172,Dilworth Elementary School: Latta Campus,NC,Charlotte-Mecklenburg Schools,Primary,Regular school,No,264,20,3703172,405 E. Park Ave,Charlotte,North Carolina,-80.8516,35.2114,3500,37119,12000,45,0,1.467143,1,0,1,74,76,1876638
mixed - most recent,370297001213,Druid Hills Academy,NC,Charlotte-Mecklenburg Schools,Primary,Regular school,No,299,33,3701213,2801 Lucena Ave,Charlotte,North Carolina,-80.8243,35.2573,5100,37119,12000,296,34.2,0.932375,100,34.1,94,12,5,2083472
mixed - most recent,370297001214,East Mecklenburg High School,NC,Charlotte-Mecklenburg Schools,High,Regular school,No,2141,118,3701214,6800 Monroe Rd,Charlotte,North Carolina,-80.758,35.176,1914,37119,12000,624,17.9,1.014962,55,17.8,58,70,59,5803439
mixed - most recent,370297001215,Eastover Elementary School,NC,Charlotte-Mecklenburg Schools,Primary,Regular school,No,356,25,3701215,500 Cherokee Rd,Charlotte,North Carolina,-80.8217,35.1966,2800,37119,12000,80,1.5,1.348354,6,1.4,5,67,62,1324767
mixed - most recent,370297001216,Eastway Middle School,NC,Charlotte-Mecklenburg Schools,Middle,Regular school,No,848,55,3701216,1501 Norland Rd,Charlotte,North Carolina,-80.7781,35.2102,1702,37119,12000,845,32.3,1.13624,97,32.2,92,22,18,2647981
mixed - most recent,370297001881,Elizabeth Lane Elementary School,NC,Charlotte-Mecklenburg Schools,Primary,Regular school,No,803,54,3701881,121 Elizabeth Ln,Matthews,North Carolina,-80.7474,35.1126,5833,37119,41960,31,2.7,0.711459,8,2.6,8,73,79,3073845
mixed - most recent,370297001217,Elizabeth Traditional Elementary School,NC,Charlotte-Mecklenburg Schools,Primary,Regular school,No,450,32,3701217,1601 Park Dr,Charlotte,North Carolina,-80.8254,35.2154,2500,37119,12000,194,11.6,1.089915,33,11.5,38,40,33,1542779
mixed - most recent,370297002826,Elon Park Elementary School,NC,Charlotte-Mecklenburg Schools,Primary,Regular school,No,835,54,3702826,11425 Ardrey Kell Rd,Charlotte,North Carolina,-80.843144,35.022986,5838,37119,,28,1,0.848819,6,0.9,4,73,78,3032717
mixed - most recent,370297002675,Endhaven Elementary School,NC,Charlotte-Mecklenburg Schools,Primary,Regular school,No,640,40,3702675,6815 Endhaven Ln,Charlotte,North Carolina,-80.8356,35.0669,5839,37119,12000,95,7.4,0.615808,19,7.3,24,55,52,2239946
mixed - most recent,370297001211,First Ward Creative Arts Academy,NC,Charlotte-Mecklenburg Schools,Primary,Regular school,No,528,40,3701211,715 N. Caldwell St,Charlotte,North Carolina,-80.8323,35.2291,600,37119,12000,525,32.6,1.117062,98,32.5,92,38,27,1842420
mixed - most recent,370297002395,Francis Bradley Middle School,NC,Charlotte-Mecklenburg Schools,Middle,Regular school,No,1075,61,3702395,13345 Beatties Ford Rd,Huntersville,North Carolina,-80.9246,35.3967,6213,37119,33120,220,9,0.616769,25,8.9,29,54,50,2615528
mixed - most recent,370297003245,Garinger High School,NC,Charlotte-Mecklenburg Schools,High,Regular school,No,1643,103,3703245,1100 Eastway Dr,Charlotte,North Carolina,-80.7829,35.2411,1300,37119,12000,1640,31.3,0.978901,95,31.2,90,25,47,5394655
mixed - most recent,370297001886,Governor's Village STEM Academy (Lower),NC,Charlotte-Mecklenburg Schools,Primary,Regular school,No,852,54,3701886,7910 Neal Rd,Charlotte,North Carolina,-80.7748,35.2987,5524,37119,12000,373,33.1,1.106654,99,33,93,33,31,2245328
mixed - most recent,370297002396,Governor's Village STEM Academy (Upper),NC,Charlotte-Mecklenburg Schools,Middle,Regular school,No,760,42,3702396,7810 Neal Rd,Charlotte,North Carolina,-80.7751,35.2967,5524,37119,12000,321,30.1,1.265631,92,30,88,40,27,3127539
mixed - most recent,370297003273,Grand Oak Elementary School,NC,Charlotte-Mecklenburg Schools,Primary,Regular school,No,456,33,3703273,15410 Stumptown Rd,Huntersville,North Carolina,-80.87198,35.426503,6211,37119,33120,39,4.6,0.659901,12,4.5,14,69,73,1736696
mixed - most recent,370297001598,Greenway Park Elementary School,NC,Charlotte-Mecklenburg Schools,Primary,Regular school,No,544,41,3701598,8301 Monroe Rd,Charlotte,North Carolina,-80.7461,35.1574,1915,37119,12000,541,32.2,1.006112,97,32.1,92,24,30,1771862
mixed - most recent,370297001221,Harding University High School,NC,Charlotte-Mecklenburg Schools,High,Regular school,No,1619,91,3701221,2001 Alleghany St,Charlotte,North Carolina,-80.9026,35.2366,4000,37119,12000,1616,33.2,1.166118,99,33.1,93,33,27,4541302
mixed - most recent,370297003313,Harper Middle College High School,NC,Charlotte-Mecklenburg Schools,High,Regular school,No,164,5,3703313,315 W Hebron St,Charlotte,North Carolina,-80.8956,35.1296,5916,37119,12000,7,11.9,1.18039,34,11.8,39,Suppressed data,95,202764
mixed - most recent,370297002471,Hawk Ridge Elementary School,NC,Charlotte-Mecklenburg Schools,Primary,Regular school,No,698,48,3702471,9201 Bryant Farms Rd,Charlotte,North Carolina,-80.8253,35.0435,5843,37119,12000,61,2.4,0.733597,8,2.3,7,74,79,2662921
mixed - most recent,370297002228,Hawthorne Academy of Health Sciences,NC,Charlotte-Mecklenburg Schools,High,Regular school,No,307,18,3702228,1411 Hawthorne Ln,Charlotte,North Carolina,-80.814761,35.22846,800,37119,12000,99,20.4,1.513817,64,20.3,65,62,57,1079602
mixed - most recent,370297001223,Hickory Grove Elementary School,NC,Charlotte-Mecklenburg Schools,Primary,Regular school,No,620,36,3701223,6709 Pence Rd,Charlotte,North Carolina,-80.717541,35.226436,1922,37119,12000,617,32.5,1.000964,98,32.4,92,19,12,1576704
mixed - most recent,370297001224,Hidden Valley Elementary School,NC,Charlotte-Mecklenburg Schools,Primary,Regular school,No,860,59,3701224,5100 Snow White Ln,Charlotte,North Carolina,-80.784439,35.268321,5305,37119,12000,857,31.8,1.020181,96,31.7,91,16,27,3007620
mixed - most recent,370297002877,Highland Creek Elementary School,NC,Charlotte-Mecklenburg Schools,Primary,Regular school,No,412,32,3702877,7242 Highland Creek Pkwy,Charlotte,North Carolina,-80.7633,35.3783,5519,37119,12000,84,9.2,0.495937,25,9.1,30,53,46,1680016
mixed - most recent,370297002638,Highland Mill Montessori,NC,Charlotte-Mecklenburg Schools,Primary,Regular school,No,313,23,3702638,3201 Clemson Ave,Charlotte,North Carolina,-80.8042,35.2432,1400,37119,12000,28,7.4,1.152204,20,7.3,24,72,77,859338
mixed - most recent,370297001225,Highland Renaissance Academy,NC,Charlotte-Mecklenburg Schools,Primary,Regular school,No,381,24,3701225,125 W Craighead Rd,Charlotte,North Carolina,-80.8032,35.2556,5301,37119,12000,378,32.9,0.992632,98,32.8,93,22,12,1543596
mixed - most recent,370297002593,Hopewell High School,NC,Charlotte-Mecklenburg Schools,High,Regular school,No,1809,99,3702593,11530 Beatties Ford Rd,Huntersville,North Carolina,-80.911,35.3784,6215,37119,33120,444,9.1,0.626999,25,9,30,58,45,4376873
mixed - most recent,370297002309,Hornets Nest Elementary School,NC,Charlotte-Mecklenburg Schools,Primary,Regular school,No,580,32,3702309,6700 Beatties Ford Rd,Charlotte,North Carolina,-80.8652,35.3247,6109,37119,12000,577,31.8,1.019012,96,31.7,91,17,12,1760145
mixed - most recent,370297001226,Huntersville Elementary School,NC,Charlotte-Mecklenburg Schools,Primary,Regular school,No,747,48,3701226,200 Gilead Rd,Huntersville,North Carolina,-80.8469,35.4116,6303,37119,33120,89,10,0.458986,28,9.9,33,58,64,2538725
mixed - most recent,370297001227,Huntingtowne Farms Elementary School,NC,Charlotte-Mecklenburg Schools,Primary,Regular school,No,859,55,3701227,2520 Huntingtowne Farms Ln,Charlotte,North Carolina,-80.8599,35.1327,3105,37119,12000,274,27.8,1.553719,87,27.7,84,27,36,2591033
mixed - most recent,370297001228,Idlewild Elementary School,NC,Charlotte-Mecklenburg Schools,Primary,Regular school,No,925,61,3701228,7101 Idlewild Rd,Charlotte,North Carolina,-80.7442,35.1871,1919,37119,12000,922,34.4,1.210784,100,34.3,94,40,36,2984383
mixed - most recent,370297001229,Independence High School,NC,Charlotte-Mecklenburg Schools,High,Regular school,No,1992,121,3701229,1967 Patriot Dr,Charlotte,North Carolina,-80.6874,35.1972,1917,37119,,515,16,0.625522,48,15.9,52,54,65,6821197
mixed - most recent,370297000682,Irwin Academic Center,NC,Charlotte-Mecklenburg Schools,Primary,Regular school,No,390,24,3700682,329 N. Irwin Ave,Charlotte,North Carolina,-80.850052,35.237483,500,37119,12000,58,13.1,0.95901,38,13,42,82,72,1396132
mixed - most recent,370297001231,J. H. Gunn Elementary School,NC,Charlotte-Mecklenburg Schools,Primary,Regular school,No,609,42,3701231,7400 Harrisburg Rd,Charlotte,North Carolina,-80.6854,35.216,5620,37119,,606,32.1,0.99631,97,32,92,23,22,1966872
mixed - most recent,370297001189,J. M. Alexander Middle School,NC,Charlotte-Mecklenburg Schools,Middle,Regular school,No,856,49,3701189,12010 Hambright Rd,Huntersville,North Carolina,-80.838144,35.376721,6302,37119,33120,291,14,0.917861,41,13.9,45,41,25,2074013
mixed - most recent,370297002891,J. V. Washam Elementary School,NC,Charlotte-Mecklenburg Schools,Primary,Regular school,No,861,54,3702891,9611 Westmoreland Rd,Cornelius,North Carolina,-80.868,35.4665,6406,37119,14700,101,4.7,0.646814,12,4.6,15,56,64,2773150
mixed - most recent,370297002325,James Martin Middle School,NC,Charlotte-Mecklenburg Schools,Middle,Regular school,No,690,38,3702325,6301 University Pointe Blvd,Charlotte,North Carolina,-80.766922,35.298439,5524,37119,12000,687,31,1.047477,95,30.9,90,27,11,2264957
mixed - most recent,370297002639,Jay M. Robinson Middle School,NC,Charlotte-Mecklenburg Schools,Middle,Regular school,No,1262,72,3702639,5925 Ballantyne Commons Pkwy,Charlotte,North Carolina,-80.7835,35.0631,5845,37119,12000,69,0,0.874298,1,0,1,78,81,2908415
mixed - most recent,370297002676,Joseph W. Grier Academy,NC,Charlotte-Mecklenburg Schools,Primary,Regular school,No,693,45,3702676,8330 Grier Rd,Charlotte,North Carolina,-80.7254,35.2674,5616,37119,12000,690,32.3,1.007727,97,32.2,92,33,21,2583078
mixed - most recent,370297002326,Julius L. Chambers High School,NC,Charlotte-Mecklenburg Schools,High,Regular school,No,2059,107,3702326,7600 IBM Dr,Charlotte,North Carolina,-80.7692,35.3004,5524,37119,12000,2056,30.5,0.993815,93,30.4,89,35,40,4654498
mixed - most recent,370297001232,Kennedy Middle School,NC,Charlotte-Mecklenburg Schools,Middle,Regular school,No,936,50,3701232,4000 Gallant Ln,Charlotte,North Carolina,-80.9557,35.1535,5912,37119,12000,251,17,0.943348,52,16.9,55,41,33,2543915
mixed - most recent,370297000614,Lake Wylie Elementary School,NC,Charlotte-Mecklenburg Schools,Primary,Regular school,No,614,36,3700614,13620 Erwin Rd,Charlotte,North Carolina,-80.9717,35.1152,5914,37119,12000,211,17.8,0.668823,54,17.7,57,37,26,1957264
mixed - most recent,370297001234,Lansdowne Elementary School,NC,Charlotte-Mecklenburg Schools,Primary,Regular school,No,481,35,3701234,6400 Prett Ct,Charlotte,North Carolina,-80.7823,35.1433,2004,37119,12000,176,8.4,1.231033,23,8.2,27,42,32,1757799
mixed - most recent,370297003363,Lawrence Orr Elementary School,NC,Charlotte-Mecklenburg Schools,Primary,Regular school,No,750,43,3703363,4835 Shamrock Dr,Charlotte,North Carolina,-80.743914,35.225991,1609,37119,12000,747,33.1,0.993999,99,33,93,35,29,1881426
mixed - most recent,370297002266,Lebanon Road Elementary School,NC,Charlotte-Mecklenburg Schools,Primary,Regular school,No,730,45,3702266,7300 Lebanon Rd,Charlotte,North Carolina,-80.6896,35.1841,5711,37119,43480,726,31.4,1.033203,96,31.3,91,28,25,2206581
mixed - most recent,370297003318,Levine Middle College High School,NC,Charlotte-Mecklenburg Schools,High,Regular school,No,233,5,3703318,2800 Campus Ridge Rd,Matthews,North Carolina,-80.692786,35.10741,5835,37119,41960,8,8.5,1.119808,23,8.4,28,Suppressed data,97.5,336436
mixed - most recent,370297001236,Long Creek Elementary School,NC,Charlotte-Mecklenburg Schools,Primary,Regular school,No,496,41,3701236,9213-A Beatties Ford Rd,Huntersville,North Carolina,-80.890689,35.349451,6105,37119,,192,16.4,0.997722,50,16.3,53,26,24,1445852
mixed - most recent,370297002198,Mallard Creek Elementary School,NC,Charlotte-Mecklenburg Schools,Primary,Regular school,No,515,33,3702198,9801 Mallard Creek Rd,Charlotte,North Carolina,-80.7745,35.3354,5514,37119,12000,222,14.7,0.899018,43,14.6,48,46,35,1937675
mixed - most recent,370297002811,Mallard Creek High School,NC,Charlotte-Mecklenburg Schools,High,Regular school,No,2281,119,3702811,3825 Johnston Oehler Rd,Charlotte,North Carolina,-80.77,35.3652,5518,37119,12000,630,10.4,0.479122,29,10.3,34,59,56,6286023
mixed - most recent,370297003420,Marie G. Davis School,NC,Charlotte-Mecklenburg Schools,Primary,Regular school,No,395,33,3703420,3351 Griffith St,Charlotte,North Carolina,-80.876499,35.202144,3700,37119,12000,392,35.4,0.965942,100,35.3,95,23,15,1923453
mixed - most recent,370297002784,Martin Luther King Jr. Middle School,NC,Charlotte-Mecklenburg Schools,Middle,Regular school,No,957,50,3702784,500 Bilmark Ave,Charlotte,North Carolina,-80.7785,35.2634,5306,37119,12000,954,31.8,1.042598,96,31.7,91,20,11,2436075
mixed - most recent,370297001238,Matthews Elementary School,NC,Charlotte-Mecklenburg Schools,Primary,Regular school,No,827,49,3701238,200 E McDowell St,Matthews,North Carolina,-80.723443,35.113195,5834,37119,41960,137,9.2,0.519378,25,9.1,30,57,59,2660139
mixed - most recent,370297002166,McAlpine Elementary School,NC,Charlotte-Mecklenburg Schools,Primary,Regular school,No,498,29,3702166,9100 Carswell Ln,Charlotte,North Carolina,-80.8281,35.0818,5831,37119,12000,59,6.5,0.706241,17,6.4,21,60,62,1387299
mixed - most recent,370297001239,McClintock Middle School,NC,Charlotte-Mecklenburg Schools,Middle,Regular school,No,1142,68,3701239,1925 Rama Rd,Charlotte,North Carolina,-80.768781,35.179765,1914,37119,12000,1127,34.2,1.137883,100,34.1,94,31,31,2863204
mixed - most recent,370297002219,McKee Road Elementary School,NC,Charlotte-Mecklenburg Schools,Primary,Regular school,No,511,35,3702219,4101 McKee Rd,Charlotte,North Carolina,-80.7548,35.0683,5847,37119,12000,35,4.2,0.622086,11,4.1,13,69,78,1364622
mixed - most recent,370297003421,Merancas Middle College High School,NC,Charlotte-Mecklenburg Schools,High,Regular school,No,173,4,3703421,12010 Verhoeff Dr,Huntersville,North Carolina,-80.840844,35.393407,6302,37119,33120,17,6.3,0.997514,16,6.2,20,Suppressed data,95,219872
mixed - most recent,370297002167,Merry Oaks International Academy,NC,Charlotte-Mecklenburg Schools,Primary,Regular school,No,616,39,3702167,3508 Draper Ave,Charlotte,North Carolina,-80.783,35.2183,1200,37119,12000,613,27.3,1.302644,85,27.2,83,14,11,2056483
mixed - most recent,370297001241,Metro School,NC,Charlotte-Mecklenburg Schools,Other,Special education school,No,186,40,3701241,405 S. Davidson St,Charlotte,North Carolina,-80.842339,35.219378,980300,37119,12000,69,20.9,1.675818,66,20.8,67,5,24.5,345122
mixed - most recent,370297003042,Military and Global Leadership Academy,NC,Charlotte-Mecklenburg Schools,High,Regular school,No,185,16,3703042,1411 Hawthorne Lane Ste A,Charlotte,North Carolina,-80.814761,35.22846,800,37119,12000,51,32,1.139279,97,31.9,91,34.5,34.5,764426
