GEOID,Total,Elementary,Middle,High,STATEFP20,COUNTYFP20,TRACTCE20,Total Students,Grade_Cluster_Elementary,Grade_Cluster_Middle,Grade_Cluster_High,market_share_total,market_share_elementary,market_share_middle,market_share_high,replaced_by_county_ms_elementary,replaced_by_county_ms_middle,replaced_by_county_ms_high
37119000900,1878,66,0,80,37,119,000900,93,64,13,16,0.04952076677316294,0.9696969696969697,0.46119611095851776,0.2,0,1,0
37119001000,3066,120,49,63,37,119,001000,186,113,37,36,0.060665362035225046,0.9416666666666667,0.7551020408163265,0.5714285714285714,0,0,0
37119001100,3484,161,230,62,37,119,001100,188,123,31,34,0.0539609644087256,0.7639751552795031,0.13478260869565217,0.5483870967741935,0,0,0
37119001200,5045,273,343,216,37,119,001200,718,395,160,163,0.1423191278493558,0.6925395620184098,0.46647230320699706,0.7546296296296297,1,0,0
37119001300,4307,250,178,201,37,119,001300,349,184,67,98,0.08103087996285117,0.736,0.37640449438202245,0.48756218905472637,0,0,0
37119001400,3711,187,146,55,37,119,001400,234,125,58,51,0.06305578011317704,0.6684491978609626,0.3972602739726027,0.9272727272727272,0,0,0
37119001504,6688,398,374,307,37,119,001504,940,415,203,322,0.14055023923444976,0.6925395620184098,0.5427807486631016,0.5956669683734754,1,0,1
37119001505,4268,465,215,358,37,119,001505,835,379,199,257,0.19564198687910028,0.8150537634408602,0.9255813953488372,0.7178770949720671,0,0,0
37119001507,5298,477,593,428,37,119,001507,966,458,235,273,0.1823329558323896,0.960167714884696,0.3962900505902192,0.6378504672897196,0,0,0
37119001508,6364,441,545,360,37,119,001508,1066,464,257,345,0.16750471401634193,0.6925395620184098,0.47155963302752296,0.9583333333333334,1,0,0
37119001509,3765,383,688,260,37,119,001509,405,187,90,128,0.10756972111553785,0.48825065274151436,0.1308139534883721,0.49230769230769234,0,0,0
37119001510,3444,137,224,109,37,119,001510,530,250,123,157,0.15389082462253195,0.6925395620184098,0.5491071428571429,0.5956669683734754,1,0,1
37119001603,4637,204,362,356,37,119,001603,506,237,119,150,0.1091222773344835,0.6925395620184098,0.3287292817679558,0.42134831460674155,1,0,0
37119001605,1741,156,52,64,37,119,001605,200,104,47,49,0.11487650775416428,0.6666666666666666,0.9038461538461539,0.765625,0,0,0
37119001606,4675,240,381,290,37,119,001606,572,256,138,178,0.1223529411764706,0.6925395620184098,0.36220472440944884,0.6137931034482759,1,0,0
37119001607,2803,177,259,112,37,119,001607,483,237,124,122,0.17231537638244737,0.6925395620184098,0.47876447876447875,0.5956669683734754,1,0,1
37119001608,4224,302,234,217,37,119,001608,667,300,169,198,0.15790719696969696,0.9933774834437086,0.7222222222222222,0.9124423963133641,0,0,0
37119001609,3006,299,213,195,37,119,001609,484,252,110,122,0.16101131071190952,0.842809364548495,0.5164319248826291,0.6256410256410256,0,0,0
37119001701,4391,324,325,82,37,119,001701,581,295,125,161,0.13231610111591893,0.9104938271604939,0.38461538461538464,0.5956669683734754,0,0,1
37119001702,6912,536,559,240,37,119,001702,934,488,235,211,0.13512731481481483,0.9104477611940298,0.4203935599284436,0.8791666666666667,0,0,0
37119001801,1316,76,49,21,37,119,001801,155,81,35,39,0.11778115501519756,0.6925395620184098,0.7142857142857143,0.5956669683734754,1,0,1
37119001802,3393,100,225,126,37,119,001802,297,167,59,71,0.08753315649867374,0.6925395620184098,0.26222222222222225,0.5634920634920635,1,0,0
37119001910,5512,339,310,310,37,119,001910,972,433,229,310,0.17634252539912917,0.6925395620184098,0.7387096774193549,1,1,0,0
37119001911,5610,369,217,214,37,119,001911,830,380,182,268,0.14795008912655971,0.6925395620184098,0.8387096774193549,0.5956669683734754,1,0,1
37119001914,4087,124,260,298,37,119,001914,519,225,132,162,0.12698801076584293,0.6925395620184098,0.5076923076923077,0.5436241610738255,1,0,0
37119001916,4355,437,365,342,37,119,001916,662,244,156,262,0.15200918484500575,0.5583524027459954,0.4273972602739726,0.7660818713450293,0,0,0
37119001917,4425,401,462,329,37,119,001917,643,257,147,239,0.14531073446327683,0.6408977556109726,0.3181818181818182,0.7264437689969605,0,0,0
37119001918,4160,272,225,69,37,119,001918,554,284,117,153,0.13317307692307692,0.6925395620184098,0.52,0.5956669683734754,1,0,1
37119001919,4220,303,235,212,37,119,001919,821,391,198,232,0.19454976303317537,0.6925395620184098,0.8425531914893617,0.5956669683734754,1,0,1
37119001920,5973,531,548,360,37,119,001920,1061,469,250,342,0.17763268039511135,0.8832391713747646,0.4562043795620438,0.95,0,0,0
37119001921,2798,223,225,163,37,119,001921,438,194,88,156,0.15654038598999284,0.8699551569506726,0.39111111111111113,0.9570552147239264,0,0,0
