school_name,f_address,Match_addr,Longitude,Latitude,Addr_type,Score,Status,Region,RegionAbbr,Subregion,MetroArea,City,Nbrhd,geometry,Match_type,LongLabel,ShortLabel,Type,PlaceName,Place_addr,Phone,URL,Rank,AddBldg,AddNum,AddNumFrom,AddNumTo,AddRange,Side,StPreDir,StPreType,StName,StType,StDir,BldgType,BldgName,LevelType,LevelName,UnitType,UnitName,SubAddr,StAddr,Block,Sector,District,Territory,Zone,Postal,PostalExt,Country,CntryName,LangCode,Distance,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax,ExInfo
Highland Creek Elementary,"7242 Highland Creek Pkwy, Charlotte, NC 28269","7242 Highland Creek Pkwy, Charlotte, North Carolina, 28269",-80.7631047045989,35.37912098770901,PointAddress,100.0,M,North Carolina,NC,Mecklenburg County,,Charlotte,,POINT (-80.76310470499999 35.37912098800007),A,"7242 Highland Creek Pkwy, Charlotte, NC, 28269, USA",7242 Highland Creek Pkwy,,,"7242 Highland Creek Pkwy, Charlotte, North Carolina, 28269",,,20.0,,7242,,,,,,,Highland Creek,Pkwy,,,,,,,,,7242 Highland Creek Pkwy,,,,,,28269,0805,USA,United States,ENG,0.0,-80.7636015,35.37828900000001,-80.7646015,-80.76260149999999,35.37728900000001,35.37928900000001,
Highland Renaissance Academy,"125 W Craighead Rd, Charlotte, NC 28206","125 W Craighead Rd, Charlotte, North Carolina, 28206",-80.8017152455122,35.25660901739917,PointAddress,100.0,M,North Carolina,NC,Mecklenburg County,,Charlotte,,POINT (-80.80171524599996 35.25660901700007),A,"125 W Craighead Rd, Charlotte, NC, 28206, USA",125 W Craighead Rd,,,"125 W Craighead Rd, Charlotte, North Carolina, 28206",,,20.0,,125,,,,,W,,Craighead,Rd,,,,,,,,,125 W Craighead Rd,,,,,,28206,2029,USA,United States,ENG,0.0,-80.80341299999999,35.255700000000004,-80.804413,-80.80241299999999,35.25470000000001,35.2567,
Hornets Nest Elementary,"6700 Beatties Ford Rd, Charlotte, NC 28216","6700 Beatties Ford Rd, Charlotte, North Carolina, 28216",-80.86642801696648,35.324360536528154,PointAddress,100.0,M,North Carolina,NC,Mecklenburg County,,Charlotte,,POINT (-80.86642801699998 35.32436053700008),A,"6700 Beatties Ford Rd, Charlotte, NC, 28216, USA",6700 Beatties Ford Rd,,,"6700 Beatties Ford Rd, Charlotte, North Carolina, 28216",,,20.0,,6700,,,,,,,Beatties Ford,Rd,,,,,,,,,6700 Beatties Ford Rd,,,,,,28216,1910,USA,United States,ENG,0.0,-80.8653465,35.324685,-80.8663465,-80.8643465,35.323685000000005,35.325685,
Huntersville Elementary,"200 Gilead Rd, Huntersville, NC 28078","200 Gilead Rd, Huntersville, North Carolina, 28078",-80.84687988273988,35.4107006556346,PointAddress,100.0,M,North Carolina,NC,Mecklenburg County,,Huntersville,,POINT (-80.84687988299999 35.41070065600007),A,"200 Gilead Rd, Huntersville, NC, 28078, USA",200 Gilead Rd,,,"200 Gilead Rd, Huntersville, North Carolina, 28078",,,20.0,,200,,,,,,,Gilead,Rd,,,,,,,,,200 Gilead Rd,,,,,,28078,6897,USA,United States,ENG,0.0,-80.8469145,35.41143600000001,-80.8479145,-80.84591449999999,35.41043600000001,35.41243600000001,
Independence High School,"1967 Patriot Dr, Charlotte, NC 28227","1967 Patriot Dr, Charlotte, North Carolina, 28227",-80.68615605727327,35.19803103214301,PointAddress,100.0,M,North Carolina,NC,Mecklenburg County,,Charlotte,,POINT (-80.68615605699995 35.19803103200007),A,"1967 Patriot Dr, Charlotte, NC, 28227, USA",1967 Patriot Dr,,,"1967 Patriot Dr, Charlotte, North Carolina, 28227",,,20.0,,1967,,,,,,,Patriot,Dr,,,,,,,,,1967 Patriot Dr,,,,,,28227,4123,USA,United States,ENG,0.0,-80.687196,35.197479,-80.688196,-80.686196,35.196479000000004,35.198479,
J. H. Gunn Elementary,"7400 Harrisburg Rd, Charlotte, NC 28215","7400 Harrisburg Rd, Charlotte, North Carolina, 28215",-80.68683525440088,35.21652979098635,PointAddress,100.0,M,North Carolina,NC,Mecklenburg County,,Charlotte,,POINT (-80.68683525399996 35.21652979100003),A,"7400 Harrisburg Rd, Charlotte, NC, 28215, USA",7400 Harrisburg Rd,,,"7400 Harrisburg Rd, Charlotte, North Carolina, 28215",,,20.0,,7400,,,,,,,Harrisburg,Rd,,,,,,,,,7400 Harrisburg Rd,,,,,,28215,4312,USA,United States,ENG,0.0,-80.685684,35.216307,-80.686684,-80.68468399999999,35.215307,35.217307,
J.V. Washam Elementary,"9611 Westmoreland Rd, Cornelius, NC 28031","9611 Westmoreland Rd, Cornelius, North Carolina, 28031",-80.867808,35.46677700000001,PointAddress,100.0,M,North Carolina,NC,Mecklenburg County,,Cornelius,,POINT (-80.86780799999997 35.46677700000004),A,"9611 Westmoreland Rd, Cornelius, NC, 28031, USA",9611 Westmoreland Rd,,,"9611 Westmoreland Rd, Cornelius, North Carolina, 28031",,,20.0,,9611,,,,,,,Westmoreland,Rd,,,,,,,,,9611 Westmoreland Rd,,,,,,28031,9260,USA,United States,ENG,0.0,-80.867808,35.46677700000001,-80.868808,-80.86680799999999,35.46577700000001,35.467777000000005,
James Martin Middle,"6301 University Pointe Blvd, Charlotte, NC 28262","6301 University Pointe Blvd, Charlotte, North Carolina, 28262",-80.76694499999999,35.298486,PointAddress,100.0,M,North Carolina,NC,Mecklenburg County,,Charlotte,,POINT (-80.76694499999996 35.29848600000003),A,"6301 University Pointe Blvd, Charlotte, NC, 28262, USA",6301 University Pointe Blvd,,,"6301 University Pointe Blvd, Charlotte, North Carolina, 28262",,,20.0,,6301,,,,,,,University Pointe,Blvd,,,,,,,,,6301 University Pointe Blvd,,,,,,28262,5031,USA,United States,ENG,0.0,-80.76694499999999,35.298486,-80.767945,-80.76594499999999,35.297486,35.299485999999995,
Jay M. Robinson Middle,"5925 Ballantyne Commons Pkwy, Charlotte, NC 28277","5925 Ballantyne Commons Pkwy, Charlotte, North Carolina, 28277",-80.78253848364002,35.06409747948603,PointAddress,100.0,M,North Carolina,NC,Mecklenburg County,,Charlotte,,POINT (-80.78253848399999 35.06409747900005),A,"5925 Ballantyne Commons Pkwy, Charlotte, NC, 28277, USA",5925 Ballantyne Commons Pkwy,,,"5925 Ballantyne Commons Pkwy, Charlotte, North Carolina, 28277",,,20.0,,5925,,,,,,,Ballantyne Commons,Pkwy,,,,,,,,,5925 Ballantyne Commons Pkwy,,,,,,28277,0575,USA,United States,ENG,0.0,-80.78269949999999,35.062893,-80.7836995,-80.78169949999999,35.061893000000005,35.063893,
Joseph W Grier Academy,"8330 Grier Rd, Charlotte, NC 28215","8330 Grier Rd, Charlotte, North Carolina, 28215",-80.72602991124755,35.268332161175444,PointAddress,100.0,M,North Carolina,NC,Mecklenburg County,,Charlotte,,POINT (-80.72602991099996 35.26833216100005),A,"8330 Grier Rd, Charlotte, NC, 28215, USA",8330 Grier Rd,,,"8330 Grier Rd, Charlotte, North Carolina, 28215",,,20.0,,8330,,,,,,,Grier,Rd,,,,,,,,,8330 Grier Rd,,,,,,28215,8701,USA,United States,ENG,0.0,-80.7252255,35.267499,-80.7262255,-80.72422549999999,35.266499,35.268499,
Julius L. Chambers High School,"7600 IBM Dr, Charlotte, NC 28262","7600 Ibm Dr, Charlotte, North Carolina, 28262",-80.769492,35.300223,PointAddress,100.0,M,North Carolina,NC,Mecklenburg County,,Charlotte,,POINT (-80.76949199999996 35.30022300000007),A,"7600 Ibm Dr, Charlotte, NC, 28262, USA",7600 Ibm Dr,,,"7600 Ibm Dr, Charlotte, North Carolina, 28262",,,20.0,,7600,,,,,,,Ibm,Dr,,,,,,,,,7600 Ibm Dr,,,,,,28262,4314,USA,United States,ENG,0.0,-80.769492,35.300223,-80.770492,-80.768492,35.299223000000005,35.301223,
Lake Wylie Elementary,"13620 Erwin Rd, Charlotte, NC 28273","13620 Erwin Rd, Charlotte, North Carolina, 28273",-80.97294956676751,35.11410801982149,PointAddress,100.0,M,North Carolina,NC,Mecklenburg County,,Charlotte,,POINT (-80.97294956699994 35.11410802000006),A,"13620 Erwin Rd, Charlotte, NC, 28273, USA",13620 Erwin Rd,,,"13620 Erwin Rd, Charlotte, North Carolina, 28273",,,20.0,,13620,,,,,,,Erwin,Rd,,,,,,,,,13620 Erwin Rd,,,,,,28273,6643,USA,United States,ENG,0.0,-80.9716725,35.11532700000001,-80.9726725,-80.97067249999999,35.11432700000001,35.116327000000005,
Lawrence Orr Elementary,"4835 Shamrock Dr, Charlotte, NC 28215","4835 Shamrock Dr, Charlotte, North Carolina, 28215",-80.74577193101265,35.22508581608795,PointAddress,100.0,M,North Carolina,NC,Mecklenburg County,,Charlotte,,POINT (-80.74577193099998 35.22508581600005),A,"4835 Shamrock Dr, Charlotte, NC, 28215, USA",4835 Shamrock Dr,,,"4835 Shamrock Dr, Charlotte, North Carolina, 28215",,,20.0,,4835,,,,,,,Shamrock,Dr,,,,,,,,,4835 Shamrock Dr,,,,,,28215,5176,USA,United States,ENG,0.0,-80.74413,35.226153,-80.74513,-80.74313,35.225153,35.227152999999994,
Lebanon Road Elementary,"7300 Lebanon Rd, Charlotte, NC 28227","7300 Lebanon Rd, Charlotte, North Carolina, 28227",-80.69038730826995,35.18451193112729,PointAddress,100.0,M,North Carolina,NC,Mecklenburg County,,Charlotte,,POINT (-80.69038730799997 35.18451193100003),A,"7300 Lebanon Rd, Charlotte, NC, 28227, USA",7300 Lebanon Rd,,,"7300 Lebanon Rd, Charlotte, North Carolina, 28227",,,20.0,,7300,,,,,,,Lebanon,Rd,,,,,,,,,7300 Lebanon Rd,,,,,,28227,9290,USA,United States,ENG,0.0,-80.6895,35.184078,-80.6905,-80.68849999999999,35.183078,35.185078,
Levine Middle College High Sch,"2800 Campus Ridge Rd, Matthews, NC 28105","2800 Campus Ridge Rd, Matthews, North Carolina, 28105",-80.694009,35.106255000000004,PointAddress,100.0,M,North Carolina,NC,Mecklenburg County,,Matthews,,POINT (-80.69400899999994 35.10625500000003),A,"2800 Campus Ridge Rd, Matthews, NC, 28105, USA",2800 Campus Ridge Rd,,,"2800 Campus Ridge Rd, Matthews, North Carolina, 28105",,,20.0,,2800,,,,,,,Campus Ridge,Rd,,,,,,,,,2800 Campus Ridge Rd,,,,,,28105,4859,USA,United States,ENG,0.0,-80.694009,35.106255000000004,-80.695009,-80.69300899999999,35.10525500000001,35.107255,
Mallard Creek High School,"3825 Johnston Oehler Rd, Charlotte, NC 28269","3825 Johnston Oehler Rd, Charlotte, North Carolina, 28269",-80.7699153682845,35.36596244315942,PointAddress,100.0,M,North Carolina,NC,Mecklenburg County,,Charlotte,,POINT (-80.76991536799994 35.36596244300006),A,"3825 Johnston Oehler Rd, Charlotte, NC, 28269, USA",3825 Johnston Oehler Rd,,,"3825 Johnston Oehler Rd, Charlotte, North Carolina, 28269",,,20.0,,3825,,,,,,,Johnston Oehler,Rd,,,,,,,,,3825 Johnston Oehler Rd,,,,,,28269,1017,USA,United States,ENG,0.0,-80.769708,35.365095,-80.770708,-80.76870799999999,35.364095,35.366094999999994,
Martin Luther King Jr Middle,"500 Bilmark Ave, Charlotte, NC 28213","500 Bilmark Ave, Charlotte, North Carolina, 28213",-80.778564,35.263251,PointAddress,100.0,M,North Carolina,NC,Mecklenburg County,,Charlotte,,POINT (-80.77856399999996 35.26325100000003),A,"500 Bilmark Ave, Charlotte, NC, 28213, USA",500 Bilmark Ave,,,"500 Bilmark Ave, Charlotte, North Carolina, 28213",,,20.0,,500,,,,,,,Bilmark,Ave,,,,,,,,,500 Bilmark Ave,,,,,,28213,6769,USA,United States,ENG,0.0,-80.778564,35.263251,-80.77956400000001,-80.777564,35.262251,35.264250999999994,
Matthews Elementary,"200 E McDowell St, Matthews, NC 28105","200 E McDowell St, Matthews, North Carolina, 28105",-80.72331256330412,35.11368393196401,PointAddress,100.0,M,North Carolina,NC,Mecklenburg County,,Matthews,,POINT (-80.72331256299998 35.11368393200007),A,"200 E McDowell St, Matthews, NC, 28105, USA",200 E McDowell St,,,"200 E McDowell St, Matthews, North Carolina, 28105",,,20.0,,200,,,,,E,,McDowell,St,,,,,,,,,200 E McDowell St,,,,,,28105,5773,USA,United States,ENG,0.0,-80.72356049999999,35.113293,-80.7245605,-80.72256049999999,35.112293,35.114292999999996,
McAlpine Elementary,"9100 Carswell Ln, Charlotte, NC 28277","9100 Carswell Ln, Charlotte, North Carolina, 28277",-80.82724534924057,35.08178179906509,PointAddress,100.0,M,North Carolina,NC,Mecklenburg County,,Charlotte,,POINT (-80.82724534899995 35.08178179900005),A,"9100 Carswell Ln, Charlotte, NC, 28277, USA",9100 Carswell Ln,,,"9100 Carswell Ln, Charlotte, North Carolina, 28277",,,20.0,,9100,,,,,,,Carswell,Ln,,,,,,,,,9100 Carswell Ln,,,,,,28277,3561,USA,United States,ENG,0.0,-80.828163,35.081874,-80.82916300000001,-80.827163,35.080874,35.082874,
McKee Road Elementary,"4101 McKee Rd, Charlotte, NC 28270","4101 McKee Rd, Charlotte, North Carolina, 28270",-80.75520447082944,35.069084996307346,PointAddress,100.0,M,North Carolina,NC,Mecklenburg County,,Charlotte,,POINT (-80.75520447099996 35.06908499600007),A,"4101 McKee Rd, Charlotte, NC, 28270, USA",4101 McKee Rd,,,"4101 McKee Rd, Charlotte, North Carolina, 28270",,,20.0,,4101,,,,,,,McKee,Rd,,,,,,,,,4101 McKee Rd,,,,,,28270,1258,USA,United States,ENG,0.0,-80.7549075,35.068194000000005,-80.7559075,-80.7539075,35.06719400000001,35.069194,
Merancas Middle College-CPCC,"12010 Verhoeff Dr, Huntersville, NC 28078","12010 Verhoeff Dr, Huntersville, North Carolina, 28078",-80.84088668447946,35.39379964785075,StreetAddress,100.0,M,North Carolina,NC,Mecklenburg County,Charlotte Metro Area,Huntersville,,POINT (-80.84088668399994 35.39379964800003),A,"12010 Verhoeff Dr, Huntersville, NC, 28078, USA",12010 Verhoeff Dr,,,"12010 Verhoeff Dr, Huntersville, North Carolina, 28078",,,20.0,,12010,11930,12100,11930-12100,R,,,Verhoeff,Dr,,,,,,,,,12010 Verhoeff Dr,,,,,,28078,,USA,United States,ENG,0.0,-80.84088668447946,35.39379964785075,-80.84188668447946,-80.83988668447945,35.39279964785075,35.394799647850746,
Merry Oaks International Acad,"3508 Draper Ave, Charlotte, NC 28205","3508 Draper Ave, Charlotte, North Carolina, 28205",-80.782614,35.21835900000001,PointAddress,100.0,M,North Carolina,NC,Mecklenburg County,,Charlotte,,POINT (-80.78261399999997 35.21835900000008),A,"3508 Draper Ave, Charlotte, NC, 28205, USA",3508 Draper Ave,,,"3508 Draper Ave, Charlotte, North Carolina, 28205",,,20.0,,3508,,,,,,,Draper,Ave,,,,,,,,,3508 Draper Ave,,,,,,28205,3836,USA,United States,ENG,0.0,-80.782614,35.21835900000001,-80.783614,-80.78161399999999,35.21735900000001,35.219359000000004,
Mint Hill Middle,"11501 Idlewild Road, Matthews, NC 28105","11501 Idlewild Rd, Matthews, North Carolina, 28105",-80.6999068305452,35.152020651508316,PointAddress,100.0,M,North Carolina,NC,Mecklenburg County,,Matthews,,POINT (-80.69990683099996 35.15202065200003),A,"11501 Idlewild Rd, Matthews, NC, 28105, USA",11501 Idlewild Rd,,,"11501 Idlewild Rd, Matthews, North Carolina, 28105",,,20.0,,11501,,,,,,,Idlewild,Rd,,,,,,,,,11501 Idlewild Rd,,,,,,28105,1941,USA,United States,ENG,0.0,-80.698311,35.15314500000001,-80.69931100000001,-80.697311,35.15214500000001,35.15414500000001,
Montclaire Elementary,"5801 Farmbrook Dr, Charlotte, NC 28210","5801 Farmbrook Dr, Charlotte, North Carolina, 28210",-80.8673253941951,35.152677507300275,PointAddress,100.0,M,North Carolina,NC,Mecklenburg County,,Charlotte,,POINT (-80.86732539399998 35.15267750700008),A,"5801 Farmbrook Dr, Charlotte, NC, 28210, USA",5801 Farmbrook Dr,,,"5801 Farmbrook Dr, Charlotte, North Carolina, 28210",,,20.0,,5801,,,,,,,Farmbrook,Dr,,,,,,,,,5801 Farmbrook Dr,,,,,,28210,4101,USA,United States,ENG,0.0,-80.8666965,35.152101,-80.86769650000001,-80.8656965,35.151101000000004,35.153101,
Nations Ford Elementary,"7050 Nations Ford Rd, Charlotte, NC 28217","7050 Nations Ford Rd, Charlotte, North Carolina, 28217",-80.9032005,35.156313,PointAddress,100.0,M,North Carolina,NC,Mecklenburg County,,Charlotte,,POINT (-80.90320049999997 35.15631300000007),A,"7050 Nations Ford Rd, Charlotte, NC, 28217, USA",7050 Nations Ford Rd,,,"7050 Nations Ford Rd, Charlotte, North Carolina, 28217",,,20.0,,7050,,,,,,,Nations Ford,Rd,,,,,,,,,7050 Nations Ford Rd,,,,,,28217,3461,USA,United States,ENG,0.0,-80.9032005,35.156313,-80.9042005,-80.90220049999999,35.155313,35.157312999999995,
Newell Elementary,"325 Rocky River Road West, Charlotte, NC 28213","325 Rocky River Rd W, Charlotte, North Carolina, 28213",-80.75462163910267,35.28602246162458,PointAddress,100.0,M,North Carolina,NC,Mecklenburg County,,Charlotte,,POINT (-80.75462163899994 35.28602246200006),A,"325 Rocky River Rd W, Charlotte, NC, 28213, USA",325 Rocky River Rd W,,,"325 Rocky River Rd W, Charlotte, North Carolina, 28213",,,20.0,,325,,,,,,,Rocky River,Rd,W,,,,,,,,325 Rocky River Rd W,,,,,,28213,5015,USA,United States,ENG,0.0,-80.753706,35.286705,-80.754706,-80.75270599999999,35.285705,35.287704999999995,
Niner University Elementary,"2414 Lester Street, Charlotte, NC 28208","2414 Lester St, Charlotte, North Carolina, 28208",-80.90132400204787,35.20378009717789,PointAddress,100.0,M,North Carolina,NC,Mecklenburg County,,Charlotte,,POINT (-80.90132400199997 35.20378009700005),A,"2414 Lester St, Charlotte, NC, 28208, USA",2414 Lester St,,,"2414 Lester St, Charlotte, North Carolina, 28208",,,20.0,,2414,,,,,,,Lester,St,,,,,,,,,2414 Lester St,,,,,,28208,7111,USA,United States,ENG,0.0,-80.90243099999999,35.204166,-80.903431,-80.90143099999999,35.203166,35.205166,
Oakdale Elementary,"1825 Oakdale Rd, Charlotte, NC 28216","1825 Oakdale Rd, Charlotte, North Carolina, 28216",-80.89594100978083,35.300695684690524,PointAddress,100.0,M,North Carolina,NC,Mecklenburg County,,Charlotte,,POINT (-80.89594100999994 35.30069568500005),A,"1825 Oakdale Rd, Charlotte, NC, 28216, USA",1825 Oakdale Rd,,,"1825 Oakdale Rd, Charlotte, North Carolina, 28216",,,20.0,,1825,,,,,,,Oakdale,Rd,,,,,,,,,1825 Oakdale Rd,,,,,,28216,1421,USA,United States,ENG,0.0,-80.896644,35.300520000000006,-80.897644,-80.89564399999999,35.29952000000001,35.301520000000004,
Olde Providence Elementary,"3800 Rea Rd, Charlotte, NC 28226","3800 Rea Rd, Charlotte, North Carolina, 28226",-80.7984080923018,35.1098280145127,PointAddress,100.0,M,North Carolina,NC,Mecklenburg County,,Charlotte,,POINT (-80.79840809199999 35.10982801500006),A,"3800 Rea Rd, Charlotte, NC, 28226, USA",3800 Rea Rd,,,"3800 Rea Rd, Charlotte, North Carolina, 28226",,,20.0,,3800,,,,,,,Rea,Rd,,,,,,,,,3800 Rea Rd,,,,,,28226,3177,USA,United States,ENG,0.0,-80.7985935,35.110674,-80.7995935,-80.79759349999999,35.109674000000005,35.111674,
Olympic High School,"4301 Sandy Porter Rd, Charlotte, NC 28273","4301 Sandy Porter Rd, Charlotte, North Carolina, 28273",-80.9532,35.158068,PointAddress,100.0,M,North Carolina,NC,Mecklenburg County,,Charlotte,,POINT (-80.95319999999998 35.15806800000007),A,"4301 Sandy Porter Rd, Charlotte, NC, 28273, USA",4301 Sandy Porter Rd,,,"4301 Sandy Porter Rd, Charlotte, North Carolina, 28273",,,20.0,,4301,,,,,,,Sandy Porter,Rd,,,,,,,,,4301 Sandy Porter Rd,,,,,,28273,3214,USA,United States,ENG,0.0,-80.9532,35.158068,-80.9542,-80.95219999999999,35.157068,35.159068,
Palisades Park Elementary,"15321 York Rd, Charlotte, NC 28278","15321 York Rd, Charlotte, North Carolina, 28278",-81.02596992881867,35.094226248889626,PointAddress,100.0,M,North Carolina,NC,Mecklenburg County,,Charlotte,,POINT (-81.02596992899998 35.09422624900003),A,"15321 York Rd, Charlotte, NC, 28278, USA",15321 York Rd,,,"15321 York Rd, Charlotte, North Carolina, 28278",,,20.0,,15321,,,,,,,York,Rd,,,,,,,,,15321 York Rd,,,,,,28278,8823,USA,United States,ENG,0.0,-81.0260685,35.09349300000001,-81.0270685,-81.02506849999999,35.09249300000001,35.09449300000001,
Parkside Elementary,"2945 Johnston-Oehler Rd, Charlotte, NC 28269","2945 Johnston Oehler Rd, Charlotte, North Carolina, 28269",-80.75998725445726,35.36180289332974,PointAddress,100.0,M,North Carolina,NC,Mecklenburg County,,Charlotte,,POINT (-80.75998725399995 35.36180289300006),A,"2945 Johnston Oehler Rd, Charlotte, NC, 28269, USA",2945 Johnston Oehler Rd,,,"2945 Johnston Oehler Rd, Charlotte, North Carolina, 28269",,,20.0,,2945,,,,,,,Johnston Oehler,Rd,,,,,,,,,2945 Johnston Oehler Rd,,,,,,28269,0820,USA,United States,ENG,0.0,-80.7608925,35.36082900000001,-80.7618925,-80.75989249999999,35.35982900000001,35.36182900000001,
Performance Learning Center,"2300 W Sugar Creek Road, Charlotte, NC 28262","2300 W Sugar Creek Rd, Charlotte, North Carolina, 28262",-80.79750387766227,35.29460735307839,PointAddress,100.0,M,North Carolina,NC,Mecklenburg County,,Charlotte,,POINT (-80.79750387799999 35.29460735300006),A,"2300 W Sugar Creek Rd, Charlotte, NC, 28262, USA",2300 W Sugar Creek Rd,,,"2300 W Sugar Creek Rd, Charlotte, North Carolina, 28262",,,20.0,,2300,,,,,W,,Sugar Creek,Rd,,,,,,,,,2300 W Sugar Creek Rd,,,,,,28262,3144,USA,United States,ENG,0.0,-80.7966765,35.295021000000006,-80.79767650000001,-80.7956765,35.29402100000001,35.296021,
Pineville Elementary,"204 Lowry St, Pineville, NC 28134","204 Lowry St, Pineville, North Carolina, 28134",-80.88754270901364,35.08124367978484,PointAddress,100.0,M,North Carolina,NC,Mecklenburg County,,Pineville,,POINT (-80.88754270899994 35.08124368000006),A,"204 Lowry St, Pineville, NC, 28134, USA",204 Lowry St,,,"204 Lowry St, Pineville, North Carolina, 28134",,,20.0,,204,,,,,,,Lowry,St,,,,,,,,,204 Lowry St,,,,,,28134,6563,USA,United States,ENG,0.0,-80.8877655,35.082018000000005,-80.8887655,-80.8867655,35.08101800000001,35.083018,
Pinewood Elementary,"805 Seneca Pl, Charlotte, NC 28210","805 Seneca Pl, Charlotte, North Carolina, 28210",-80.8642737614404,35.165117108343715,PointAddress,100.0,M,North Carolina,NC,Mecklenburg County,,Charlotte,,POINT (-80.86427376099994 35.16511710800006),A,"805 Seneca Pl, Charlotte, NC, 28210, USA",805 Seneca Pl,,,"805 Seneca Pl, Charlotte, North Carolina, 28210",,,20.0,,805,,,,,,,Seneca,Pl,,,,,,,,,805 Seneca Pl,,,,,,28210,2923,USA,United States,ENG,0.0,-80.86418549999999,35.166177000000005,-80.8651855,-80.86318549999999,35.16517700000001,35.167177,
Piney Grove Elementary,"8801 Eaglewind Dr, Charlotte, NC 28212","8801 Eaglewind Dr, Charlotte, North Carolina, 28212",-80.73179841970166,35.173922380720676,PointAddress,100.0,M,North Carolina,NC,Mecklenburg County,,Charlotte,,POINT (-80.73179841999996 35.17392238100007),A,"8801 Eaglewind Dr, Charlotte, NC, 28212, USA",8801 Eaglewind Dr,,,"8801 Eaglewind Dr, Charlotte, North Carolina, 28212",,,20.0,,8801,,,,,,,Eaglewind,Dr,,,,,,,,,8801 Eaglewind Dr,,,,,,28212,1526,USA,United States,ENG,0.0,-80.73087749999999,35.173152,-80.7318775,-80.72987749999999,35.172152000000004,35.174152,
Polo Ridge Elementary,"11830 Tom Short Rd, Charlotte, NC 28277","11830 Tom Short Rd, Charlotte, North Carolina, 28277",-80.79377638897137,35.04634080160391,PointAddress,100.0,M,North Carolina,NC,Mecklenburg County,,Charlotte,,POINT (-80.79377638899996 35.04634080200003),A,"11830 Tom Short Rd, Charlotte, NC, 28277, USA",11830 Tom Short Rd,,,"11830 Tom Short Rd, Charlotte, North Carolina, 28277",,,20.0,,11830,,,,,,,Tom Short,Rd,,,,,,,,,11830 Tom Short Rd,,,,,,28277,9103,USA,United States,ENG,0.0,-80.79513299999999,35.046864,-80.796133,-80.79413299999999,35.045864,35.047864,
Providence High School,"1800 Pineville-Matthews Rd, Charlotte, NC 28270","1800 Pineville Matthews Rd, Charlotte, North Carolina, 28270",-80.763588,35.11041300000001,PointAddress,100.0,M,North Carolina,NC,Mecklenburg County,,Charlotte,,POINT (-80.76358799999997 35.11041300000005),A,"1800 Pineville Matthews Rd, Charlotte, NC, 28270, USA",1800 Pineville Matthews Rd,,,"1800 Pineville Matthews Rd, Charlotte, North Carolina, 28270",,,20.0,,1800,,,,,,,Pineville Matthews,Rd,,,,,,,,,1800 Pineville Matthews Rd,,,,,,28270,0330,USA,United States,ENG,0.0,-80.763588,35.11041300000001,-80.764588,-80.762588,35.10941300000001,35.111413000000006,
Providence Spring Elementary,"10045 Providence Church Ln, Charlotte, NC 28277","10045 Providence Church Ln, Charlotte, North Carolina, 28277",-80.7698925,35.07275700000001,PointAddress,100.0,M,North Carolina,NC,Mecklenburg County,,Charlotte,,POINT (-80.76989249999997 35.07275700000002),A,"10045 Providence Church Ln, Charlotte, NC, 28277, USA",10045 Providence Church Ln,,,"10045 Providence Church Ln, Charlotte, North Carolina, 28277",,,20.0,,10045,,,,,,,Providence Church,Ln,,,,,,,,,10045 Providence Church Ln,,,,,,28277,9723,USA,United States,ENG,0.0,-80.7698925,35.07275700000001,-80.7708925,-80.76889249999999,35.07175700000001,35.07375700000001,
Rama Road Elementary,"1035 Rama Rd, Charlotte, NC 28211","1035 Rama Rd, Charlotte, North Carolina, 28211",-80.77122124557046,35.16901378662893,PointAddress,100.0,M,North Carolina,NC,Mecklenburg County,,Charlotte,,POINT (-80.77122124599998 35.16901378700004),A,"1035 Rama Rd, Charlotte, NC, 28211, USA",1035 Rama Rd,,,"1035 Rama Rd, Charlotte, North Carolina, 28211",,,20.0,,1035,,,,,,,Rama,Rd,,,,,,,,,1035 Rama Rd,,,,,,28211,4340,USA,United States,ENG,0.0,-80.7720705,35.169669,-80.7730705,-80.7710705,35.168669,35.170669,
Reedy Creek Elementary,"10801 Plaza Rd Ext, Charlotte, NC 28215","10801 Plaza Road Ext, Charlotte, North Carolina, 28215",-80.68455397305114,35.258847002365,PointAddress,100.0,M,North Carolina,NC,Mecklenburg County,,Charlotte,,POINT (-80.68455397299994 35.25884700200004),A,"10801 Plaza Road Ext, Charlotte, NC, 28215, USA",10801 Plaza Road Ext,,,"10801 Plaza Road Ext, Charlotte, North Carolina, 28215",,,20.0,,10801,,,,,,,Plaza Road,Ext,,,,,,,,,10801 Plaza Road Ext,,,,,,28215,7757,USA,United States,ENG,0.0,-80.684271,35.260371000000006,-80.685271,-80.68327099999999,35.25937100000001,35.261371000000004,
Reid Park Academy,"4108 W Tyvola Rd, Charlotte, NC 28208","4108 W Tyvola Rd, Charlotte, North Carolina, 28208",-80.905266,35.204904,PointAddress,100.0,M,North Carolina,NC,Mecklenburg County,,Charlotte,,POINT (-80.90526599999998 35.20490400000006),A,"4108 W Tyvola Rd, Charlotte, NC, 28208, USA",4108 W Tyvola Rd,,,"4108 W Tyvola Rd, Charlotte, North Carolina, 28208",,,20.0,,4108,,,,,W,,Tyvola,Rd,,,,,,,,,4108 W Tyvola Rd,,,,,,28208,6746,USA,United States,ENG,0.0,-80.905266,35.204904,-80.906266,-80.90426599999999,35.203904,35.205904,
