School Name,School ID - NCES Assigned,County Name,ANSI/FIPS State Code,Web Site URL,Location Address 1,Locale,Latitude,Longitude,State School ID,School Level (SY 2017-18 onward),Total Students,Free Lunch Eligible,American Indian/Alaska Native Students,Asian or Asian/Pacific Islander Students,Hispanic Students,Black or African American Students,White Students,Nat. Hawaiian or Other Pacific Isl. Students,Two or More Races Students,Total Race/Ethnicity,Full-Time Equivalent (FTE) Teachers,Pupil/Teacher Ratio
Beverly Woods Elementary,3.70297E+11,Mecklenburg County,37,http://beverlywoodselementaryschool.wearecms.com,6001 Quail Hollow Rd,11-City: Large,35.1314,-80.8368,NC-600-322,Elementary,603,56,0,66,50,62,401,1,23,603,41.12,14.66
Briarwood Academy,3.70297E+11,Mecklenburg County,37,http://briarwoodacademy.wearecms.com,1001 Wilann Dr,11-City: Large,35.252,-80.7657,NC-600-329,Elementary,679,676,0,68,384,192,24,0,11,679,41.63,16.31
Butler High School,3.70297E+11,Mecklenburg County,37,http://butlerhighschool.wearecms.com,1810 Matthews-Mint Hill Rd,21-Suburb: Large,35.1203,-80.6916,NC-600-361,High,1965,416,4,136,580,555,626,3,61,1965,104.35,18.83
Carmel Middle,3.70297E+11,Mecklenburg County,37,http://carmelmiddleschool.wearecms.com,5001 Camilla Dr,11-City: Large,35.1289,-80.8044,NC-600-333,Middle,1159,238,2,31,370,182,563,0,11,1159,67.62,17.14
Cato Middle College High School,3.70297E+11,Mecklenburg County,37,http://catomiddlecollegehighschool.wearecms.com,8120 Grier Rd   Suite 171-B,11-City: Large,35.2649,-80.7312,NC-600-334,High,166,31,1,13,31,85,29,0,7,166,4,41.5
Char Eng Early College-UNCC,3.70297E+11,Mecklenburg County,37,http://charlotteengineeringearlycollege.wearecms.com,9000 Robert Snyder Rd,11-City: Large,35.308908,-80.744073,NC-600-567,High,299,55,0,31,78,98,80,0,12,299,14,21.36
Char-Meck Virtual High School,3.70297E+11,Mecklenburg County,37,http://charlottemecklenburgvirtualhighschool.wearecms.com,1900 Newcastle St,11-City: Large,35.258941,-80.842213,NC-600-499,High,795,273,2,31,159,428,145,0,30,795,17.36,45.79
Charlotte Teacher Early College,3.70297E+11,Mecklenburg County,37,http://charlotteteacherearlycollege.wearecms.com,9000 Robert D. Snyder Rd,11-City: Large,35.308908,-80.744073,NC-600-569,High,206,55,0,17,49,107,28,0,5,206,5,41.2
Charlotte-Mecklenburg Virtual Elementary,3.70297E+11,Mecklenburg County,37,,1900 Newcastle St,11-City: Large,35.155297,-80.900227,NC-600-321,Elementary,864,280,4,147,152,444,82,3,32,864,35.67,24.22
Charlotte-Mecklenburg Virtual Middle,3.70297E+11,Mecklenburg County,37,,1900 Newcastle St,11-City: Large,35.155297,-80.900227,NC-600-323,Middle,946,388,3,74,201,535,95,3,35,946,19.47,48.59
Clear Creek Elementary,3.70297E+11,Mecklenburg County,37,http://clearcreekelementaryschool.wearecms.com,13501 Albemarle Rd,41-Rural: Fringe,35.2238,-80.6252,NC-600-338,Elementary,462,152,2,10,147,176,109,0,18,462,28.13,16.42
Cochrane Collegiate Academy,3.70297E+11,Mecklenburg County,37,http://cochranecollegiateacademy.wearecms.com,6200 Starhaven Dr,11-City: Large,35.2465,-80.7501,NC-600-341,High,890,887,1,43,573,243,23,3,4,890,55.07,16.16
Community House Middle,3.70297E+11,Mecklenburg County,37,http://communityhousemiddleschool.wearecms.com,9500 Community House Rd,11-City: Large,35.0361,-80.824,NC-600-345,Middle,1498,95,1,501,184,182,596,3,31,1498,84.19,17.79
Cornelius Elementary,3.70297E+11,Mecklenburg County,37,http://corneliuselementaryschool.wearecms.com,21126 Catawba Ave,21-Suburb: Large,35.481907,-80.863997,NC-600-346,Elementary,554,102,0,24,84,77,350,0,19,554,37.5,14.77
Croft Community School,3.70297E+11,Mecklenburg County,37,http://croftcommunityschool.wearecms.com,4911 Hucks Rd,11-City: Large,35.3465,-80.8047,NC-600-418,Elementary,420,151,1,19,60,254,54,0,32,420,25.3,16.6
Crown Point Elementary,3.70297E+11,Mecklenburg County,37,http://crownpointelementaryschool.wearecms.com,3335 Sam Newell Rd,21-Suburb: Large,35.1599,-80.715,NC-600-352,Elementary,529,187,0,53,136,195,114,0,31,529,32.55,16.25
David Cox Road Elementary,3.70297E+11,Mecklenburg County,37,http://davidcoxroadelementaryschool.wearecms.com,4215 David Cox Rd,11-City: Large,35.3368,-80.8009,NC-600-362,Elementary,697,694,1,27,135,468,31,1,34,697,42.05,16.58
Davidson K-8 School,3.70297E+11,Mecklenburg County,37,http://davidsonelementaryschool.wearecms.com,635 South St,21-Suburb: Large,35.4898,-80.8484,NC-600-357,Elementary,1103,53,3,33,136,62,828,3,38,1103,66.59,16.56
Devonshire Elementary,3.70297E+11,Mecklenburg County,37,http://devonshireelementaryschool.wearecms.com,6500 Barrington Dr,11-City: Large,35.2451,-80.746,NC-600-365,Elementary,544,541,0,10,367,141,14,7,5,544,39.9,13.63
Dilworth Elem Sedgefield Campus,3.70297E+11,Mecklenburg County,37,http://dilworthelementaryschoolsedgefieldcampus.wearecms.com,715 Hartford Ave,11-City: Large,35.1903,-80.8634,NC-600-519,Elementary,346,44,1,12,44,45,228,0,16,346,24,14.42
Dilworth Elementary School: Latta Campus,3.70297E+11,Mecklenburg County,37,http://dilworthelementaryschoollattacampus.wearecms.com,405 E. Park Ave,11-City: Large,35.2114,-80.8516,NC-600-367,Elementary,264,45,0,4,40,39,174,1,6,264,20.5,12.88
Druid Hills Academy,3.70297E+11,Mecklenburg County,37,http://druidhillsacademy.wearecms.com,2801 Lucena Ave,11-City: Large,35.2573,-80.8243,NC-600-374,Elementary,299,296,0,10,43,238,1,0,7,299,33.5,8.93
Eastover Elementary,3.70297E+11,Mecklenburg County,37,http://eastoverelementaryschool.wearecms.com,500 Cherokee Rd,11-City: Large,35.1966,-80.8217,NC-600-379,Elementary,356,80,0,6,11,89,234,0,16,356,25.5,13.96
Elizabeth Lane Elementary,3.70297E+11,Mecklenburg County,37,http://elizabethlaneelementaryschool.wearecms.com,121 Elizabeth Ln,21-Suburb: Large,35.1126,-80.7474,NC-600-382,Elementary,803,31,3,108,83,41,544,0,24,803,54.11,14.84
Elon Park Elementary,3.70297E+11,Mecklenburg County,37,http://elonparkelementaryschool.wearecms.com,11425 Ardrey Kell Rd,21-Suburb: Large,35.022986,-80.843144,NC-600-383,Elementary,835,28,1,314,76,81,345,0,18,835,54.71,15.26
Endhaven Elementary,3.70297E+11,Mecklenburg County,37,http://endhavenelementaryschool.wearecms.com,6815 Endhaven Ln,11-City: Large,35.0669,-80.8356,NC-600-385,Elementary,640,95,4,137,132,94,246,3,24,640,40.71,15.72
Garinger High School,3.70297E+11,Mecklenburg County,37,http://garingerhighschool.wearecms.com,1100 Eastway Dr,11-City: Large,35.2411,-80.7829,NC-600-397,High,1643,1640,3,66,857,625,59,1,32,1643,103.3,15.91
Harper Middle College High,3.70297E+11,Mecklenburg County,37,http://harpermiddlecollegehighschool.wearecms.com,315 W Hebron St,11-City: Large,35.1296,-80.8956,NC-600-404,High,164,7,0,14,38,50,55,0,7,164,5.17,31.72
Hawk Ridge Elementary,3.70297E+11,Mecklenburg County,37,http://hawkridgeelementaryschool.wearecms.com,9201 Bryant Farms Rd,11-City: Large,35.0435,-80.8253,NC-600-406,Elementary,698,61,2,200,71,66,305,1,53,698,48.1,14.51
Hickory Grove Elementary,3.70297E+11,Mecklenburg County,37,http://hickorygroveelementaryschool.wearecms.com,6709 Pence Rd,11-City: Large,35.226436,-80.717541,NC-600-410,Elementary,620,617,3,45,297,240,17,2,16,620,36.19,17.13
Hidden Valley Elementary,3.70297E+11,Mecklenburg County,37,http://hiddenvalleyelementaryschool.wearecms.com,5100 Snow White Ln,11-City: Large,35.268321,-80.784439,NC-600-412,Elementary,860,857,1,9,564,258,14,2,12,860,59.34,14.49
Highland Creek Elementary,3.70297E+11,Mecklenburg County,37,http://highlandcreekelementaryschool.wearecms.com,7242 Highland Creek Pkwy,11-City: Large,35.3783,-80.7633,NC-600-411,Elementary,412,84,3,20,45,166,150,2,26,412,32.5,12.68
Highland Renaissance Academy,3.70297E+11,Mecklenburg County,37,http://highlandrenaissanceacademy.wearecms.com,125 W Craighead Rd,11-City: Large,35.2556,-80.8032,NC-600-414,Elementary,381,378,2,4,164,190,13,0,8,381,24.97,15.26
Hornets Nest Elementary,3.70297E+11,Mecklenburg County,37,http://hornetsnestelementaryschool.wearecms.com,6700 Beatties Ford Rd,11-City: Large,35.3247,-80.8652,NC-600-416,Elementary,580,577,1,33,143,368,15,0,20,580,32.21,18.01
Huntersville Elementary,3.70297E+11,Mecklenburg County,37,http://huntersvilleelementaryschool.wearecms.com,200 Gilead Rd,21-Suburb: Large,35.4116,-80.8469,NC-600-420,Elementary,747,89,0,20,135,91,466,0,35,747,48.86,15.29
Independence High School,3.70297E+11,Mecklenburg County,37,http://independencehighschool.wearecms.com,1967 Patriot Dr,21-Suburb: Large,35.1972,-80.6874,NC-600-426,High,1992,515,6,114,775,594,446,3,54,1992,121.83,16.35
J. H. Gunn Elementary,3.70297E+11,Mecklenburg County,37,http://jhgunnelementaryschool.wearecms.com,7400 Harrisburg Rd,11-City: Large,35.216,-80.6854,NC-600-478,Elementary,609,606,0,66,273,229,22,2,17,609,42.54,14.32
J.V. Washam Elementary,3.70297E+11,Mecklenburg County,37,http://jvwashamelementaryschool.wearecms.com,9611 Westmoreland Rd,21-Suburb: Large,35.4665,-80.868,NC-600-433,Elementary,861,101,0,46,101,83,591,0,40,861,54.38,15.83
James Martin Middle,3.70297E+11,Mecklenburg County,37,http://jamesmartinmiddleschool.wearecms.com,6301 University Pointe Blvd,11-City: Large,35.298439,-80.766922,NC-600-428,Middle,690,687,1,18,216,410,32,2,11,690,38.95,17.72
Jay M. Robinson Middle,3.70297E+11,Mecklenburg County,37,http://jaymrobinsonmiddleschool.wearecms.com,5925 Ballantyne Commons Pkwy,11-City: Large,35.0631,-80.7835,NC-600-431,Middle,1262,69,2,370,128,116,609,2,35,1262,72,17.53
Joseph W Grier Academy,3.70297E+11,Mecklenburg County,37,http://josephwgrieracademy.wearecms.com,8330 Grier Rd,11-City: Large,35.2674,-80.7254,NC-600-432,Elementary,693,690,2,40,313,290,28,3,17,693,45.92,15.09
Julius L. Chambers High School,3.70297E+11,Mecklenburg County,37,http://zebulonbvancehighschool.wearecms.com,7600 IBM Dr,11-City: Large,35.3004,-80.7692,NC-600-592,High,2059,2056,0,43,730,1185,50,3,48,2059,107.23,19.2
Lake Wylie Elementary,3.70297E+11,Mecklenburg County,37,http://lakewylieelementaryschool.wearecms.com,13620 Erwin Rd,11-City: Large,35.1152,-80.9717,NC-600-436,Elementary,614,211,0,42,222,249,62,0,39,614,36.52,16.81
Lawrence Orr Elementary,3.70297E+11,Mecklenburg County,37,http://lawrenceorrelementaryschool.wearecms.com,4835 Shamrock Dr,11-City: Large,35.225991,-80.743914,NC-600-408,Elementary,750,747,1,72,368,259,29,0,21,750,43.7,17.16
Lebanon Road Elementary,3.70297E+11,Mecklenburg County,37,http://lebanonroadelementaryschool.wearecms.com,7300 Lebanon Rd,21-Suburb: Large,35.1841,-80.6896,NC-600-440,Elementary,730,726,2,57,321,268,62,2,18,730,45.46,16.06
Levine Middle College High Sch,3.70297E+11,Mecklenburg County,37,http://levinemiddlecollegehighschool.wearecms.com,2800 Campus Ridge Rd,21-Suburb: Large,35.10741,-80.692786,NC-600-443,High,233,8,2,35,33,25,132,0,6,233,5.5,42.36
Mallard Creek High School,3.70297E+11,Mecklenburg County,37,http://mallardcreekhighschool.wearecms.com,3825 Johnston Oehler Rd,11-City: Large,35.3652,-80.77,NC-600-445,High,2281,630,7,98,328,1568,197,2,81,2281,119.17,19.14
Martin Luther King Jr Middle,3.70297E+11,Mecklenburg County,37,http://mlkjrmiddleschool.wearecms.com,500 Bilmark Ave,11-City: Large,35.2634,-80.7785,NC-600-448,Middle,957,954,6,23,559,332,13,2,22,957,50.77,18.85
Matthews Elementary,3.70297E+11,Mecklenburg County,37,http://matthewselementaryschool.wearecms.com,200 E McDowell St,21-Suburb: Large,35.113195,-80.723443,NC-600-447,Elementary,827,137,0,43,142,151,455,1,35,827,49.14,16.83
McAlpine Elementary,3.70297E+11,Mecklenburg County,37,http://mcalpineelementaryschool.wearecms.com,9100 Carswell Ln,11-City: Large,35.0818,-80.8281,NC-600-449,Elementary,498,59,3,38,95,89,246,0,27,498,29.82,16.7
McKee Road Elementary,3.70297E+11,Mecklenburg County,37,http://mckeeroadelementaryschool.wearecms.com,4101 McKee Rd,11-City: Large,35.0683,-80.7548,NC-600-451,Elementary,511,35,1,160,46,45,244,0,15,511,35.5,14.39
Merancas Middle College-CPCC,3.70297E+11,Mecklenburg County,37,http://merancasmiddlecollege.wearecms.com,12010 Verhoeff Dr,21-Suburb: Large,35.393407,-80.840844,NC-600-594,High,173,17,2,10,31,62,60,0,8,173,4,43.25
Merry Oaks International Acad,3.70297E+11,Mecklenburg County,37,http://merryoaksinternationalacademy.wearecms.com,3508 Draper Ave,11-City: Large,35.2183,-80.783,NC-600-453,Elementary,616,613,0,8,409,172,24,0,3,616,39.75,15.5
Mint Hill Middle,3.70297E+11,Mecklenburg County,37,http://minthillmiddleschool.wearecms.com,11501 Idlewild Road,21-Suburb: Large,35.153045,-80.69848,NC-600-455,Middle,923,208,3,59,249,246,329,3,34,923,53.67,17.2
Montclaire Elementary,3.70297E+11,Mecklenburg County,37,http://montclaireelementaryschool.wearecms.com,5801 Farmbrook Dr,11-City: Large,35.152243,-80.867175,NC-600-459,Elementary,546,543,0,4,448,54,27,0,13,546,36.67,14.89
Nations Ford Elementary,3.70297E+11,Mecklenburg County,37,http://nationsfordelementaryschool.wearecms.com,7050 Nations Ford Rd,11-City: Large,35.156178,-80.906134,NC-600-471,Elementary,709,706,1,8,513,178,5,0,4,709,45.13,15.71
Newell Elementary,3.70297E+11,Mecklenburg County,37,http://newellelementaryschool.wearecms.com,325 Rocky River Road West,11-City: Large,35.286611,-80.753691,NC-600-474,Elementary,715,712,1,27,361,295,16,0,15,715,47,15.21
Niner University Elementary,3.70044E+11,Mecklenburg County,37,http://nue.uncc.edu/,2414 Lester Street,11-City: Large,35.204166,-80.903042,NC-60Z-000,Elementary,117,81,0,1,11,100,2,1,2,117,0.14,835.71
Oakdale Elementary,3.70297E+11,Mecklenburg County,37,http://oakdaleelementaryschool.wearecms.com,1825 Oakdale Rd,11-City: Large,35.3007,-80.8969,NC-600-485,Elementary,449,446,2,36,108,261,20,1,21,449,37.5,11.97
Olde Providence Elementary,3.70297E+11,Mecklenburg County,37,http://oldeprovidenceelementaryschool.wearecms.com,3800 Rea Rd,11-City: Large,35.1106,-80.7988,NC-600-491,Elementary,639,48,1,44,45,56,470,0,23,639,41.5,15.4
Olympic High School,3.70297E+11,Mecklenburg County,37,http://olympichighschool.wearecms.com,4301 Sandy Porter Rd,11-City: Large,35.157999,-80.952276,NC-600-490,High,2607,585,6,153,834,1184,333,6,91,2607,136.55,19.09
Palisades Park Elementary,3.70297E+11,Mecklenburg County,37,http://palisadesparkelementaryschool.wearecms.com,15321 York Rd,41-Rural: Fringe,35.0936,-81.0259,NC-600-493,Elementary,821,122,3,49,134,358,225,1,51,821,44.58,18.42
Parkside Elementary,3.70297E+11,Mecklenburg County,37,http://parksideelementaryschool.wearecms.com,2945 Johnston-Oehler Rd,11-City: Large,35.360772,-80.760935,NC-600-409,Elementary,377,154,2,23,33,278,21,0,20,377,25.51,14.78
Performance Learning Center,3.70297E+11,Mecklenburg County,37,http://performancelearningcenter.wearecms.com,2300 W Sugar Creek Road,11-City: Large,35.295031,-80.79681,NC-600-498,High,73,35,0,0,19,46,8,0,0,73,14.3,5.1
Pineville Elementary,3.70297E+11,Mecklenburg County,37,http://pinevilleelementaryschool.wearecms.com,204 Lowry St,21-Suburb: Large,35.082361,-80.887937,NC-600-500,Elementary,715,228,5,20,282,150,205,0,53,715,48.48,14.75
Pinewood Elementary,3.70297E+11,Mecklenburg County,37,http://pinewoodelementaryschool.wearecms.com,805 Seneca Pl,11-City: Large,35.1662,-80.864,NC-600-501,Elementary,526,523,1,21,271,181,37,0,15,526,36.4,14.45
Piney Grove Elementary,3.70297E+11,Mecklenburg County,37,http://pineygroveelementaryschool.wearecms.com,8801 Eaglewind Dr,11-City: Large,35.1731,-80.7311,NC-600-503,Elementary,762,759,0,137,360,205,45,0,15,762,47.94,15.89
Polo Ridge Elementary,3.70297E+11,Mecklenburg County,37,http://poloridgeelementaryschool.wearecms.com,11830 Tom Short Rd,11-City: Large,35.0469,-80.7951,NC-600-392,Elementary,572,17,1,207,33,38,265,1,27,572,40,14.3
Providence High School,3.70297E+11,Mecklenburg County,37,http://providencehighschool.wearecms.com,1800 Pineville-Matthews Rd,11-City: Large,35.1103,-80.7639,NC-600-508,High,2025,105,2,252,171,178,1367,0,55,2025,100.9,20.07
Providence Spring Elementary,3.70297E+11,Mecklenburg County,37,http://providencespringelementaryschool.wearecms.com,10045 Providence Church Ln,11-City: Large,35.0728,-80.7698,NC-600-507,Elementary,578,4,2,41,26,30,445,0,34,578,37.33,15.48
Rama Road Elementary,3.70297E+11,Mecklenburg County,37,http://ramaroadelementaryschool.wearecms.com,1035 Rama Rd,11-City: Large,35.1697,-80.7723,NC-600-512,Elementary,508,505,1,20,164,200,102,0,21,508,38.36,13.24
Reedy Creek Elementary,3.70297E+11,Mecklenburg County,37,http://reedycreekelementaryschool.wearecms.com,10801 Plaza Rd Ext,11-City: Large,35.2602,-80.6843,NC-600-516,Elementary,915,329,0,31,295,484,64,2,39,915,53.3,17.17
Reid Park Academy,3.70297E+11,Mecklenburg County,37,http://reidparkacademy.wearecms.com,4108 W Tyvola Rd,11-City: Large,35.205,-80.9054,NC-600-517,Elementary,364,361,0,22,59,270,7,0,6,364,24.8,14.68
Renaissance West STEAM Academy,3.70297E+11,Mecklenburg County,37,http://renaissanceweststeamacademy.wearecms.com,3241 New Renaissance Way,11-City: Large,35.207655,-80.920803,NC-600-515,Elementary,674,671,2,29,168,451,5,1,18,674,53.48,12.6
Ridge Road Middle,3.70297E+11,Mecklenburg County,37,http://ridgeroadmiddleschool.wearecms.com,7260 Highland Creek Pkwy,11-City: Large,35.3762,-80.7627,NC-600-518,Middle,1113,411,2,35,185,725,116,1,49,1113,64.73,17.19
River Gate Elementary,3.70297E+11,Mecklenburg County,37,http://rivergateelementaryschool.wearecms.com,15340 Smith Rd,11-City: Large,35.0875,-80.9772,NC-600-590,Elementary,675,186,4,56,175,270,136,1,33,675,41.42,16.3
River Oaks Academy,3.70297E+11,Mecklenburg County,37,http://riveroaksacademy.wearecms.com,1015 Mt Holly-Huntersville Rd,11-City: Large,35.3083,-80.9786,NC-600-463,Elementary,558,264,2,21,123,362,26,2,22,558,34.34,16.25
Rocky River High School,3.70297E+11,Mecklenburg County,37,http://rockyriverhighschool.wearecms.com,10505 Clear Creek Commerce Dr,21-Suburb: Large,35.214252,-80.640044,NC-600-457,High,1549,542,1,38,529,875,59,3,44,1549,83.63,18.52
Sedgefield Middle,3.70297E+11,Mecklenburg County,37,http://sedgefieldmiddleschool.wearecms.com,2700 Dorchester Pl,11-City: Large,35.1968,-80.8559,NC-600-520,Middle,508,505,0,10,50,222,203,1,22,508,38.19,13.3
Selwyn Elementary,3.70297E+11,Mecklenburg County,37,http://selwynelementaryschool.wearecms.com,2840 Colony Rd,11-City: Large,35.1678,-80.8348,NC-600-522,Elementary,618,69,2,28,47,70,442,0,29,618,41.69,14.82
Sharon Elementary,3.70297E+11,Mecklenburg County,37,http://sharonelementaryschool.wearecms.com,4330 Foxcroft Rd,11-City: Large,35.153,-80.8175,NC-600-530,Elementary,756,45,3,45,45,70,570,1,22,756,51.5,14.68
Smithfield Elementary,3.70297E+11,Mecklenburg County,37,http://smithfieldelementaryschool.wearecms.com,3200 Smithfield Church Rd,11-City: Large,35.1107,-80.8512,NC-600-534,Elementary,608,160,0,21,210,132,216,0,29,608,41.84,14.53
South Charlotte Middle,3.70297E+11,Mecklenburg County,37,http://southcharlottemiddleschool.wearecms.com,8040 Strawberry Ln,11-City: Large,35.0906,-80.799,NC-600-537,Middle,835,63,0,75,117,86,527,1,29,835,41.91,19.92
Southwest Middle School,3.70297E+11,Mecklenburg County,37,http://southwestmiddleschool.wearecms.com,13624 Steele Creek Rd,11-City: Large,35.1072,-80.9907,NC-600-538,Middle,1328,374,3,66,490,559,172,4,34,1328,78.84,16.84
Starmount Academy of Excellen,3.70297E+11,Mecklenburg County,37,http://starmountacademyofexcellence.wearecms.com,1600 Brookdale Ave,11-City: Large,35.140021,-80.870705,NC-600-545,Elementary,435,183,0,0,339,75,13,0,8,435,33.84,12.85
Steele Creek Elementary,3.70297E+11,Mecklenburg County,37,http://steelecreekelementaryschool.wearecms.com,4100 Gallant Ln,11-City: Large,35.1569,-80.9557,NC-600-549,Elementary,492,177,1,25,257,176,20,0,13,492,36.21,13.59
Sterling Elementary,3.70297E+11,Mecklenburg County,37,http://sterlingelementaryschool.wearecms.com,9601 China Grove Church Rd,11-City: Large,35.1073,-80.8849,NC-600-550,Elementary,698,695,1,6,479,179,15,1,17,698,49,14.24
Stoney Creek Elementary,3.70297E+11,Mecklenburg County,37,http://stoneycreekelementaryschool.wearecms.com,14015 Mallard Roost Rd,21-Suburb: Large,35.3483,-80.7253,NC-600-521,Elementary,786,780,2,17,173,538,32,3,21,786,49.68,15.82
Thomasboro Academy,3.70297E+11,Mecklenburg County,37,http://thomasboroacademy.wearecms.com,538 Bradford Dr,11-City: Large,35.2547,-80.8987,NC-600-553,Elementary,584,581,1,72,138,356,10,1,6,584,46.1,12.67
University Meadows Elementary,3.70297E+11,Mecklenburg County,37,http://universitymeadowselementaryschool.wearecms.com,1600 Pavilion Blvd,11-City: Large,35.3155,-80.7145,NC-600-566,Elementary,716,713,3,38,223,390,34,1,27,716,39.92,17.94
Villa Heights Elementary,3.70297E+11,Mecklenburg County,37,http://villaheightselementaryschool.wearecms.com,800 Everett Place,11-City: Large,35.236843,-80.812768,NC-600-593,Elementary,122,119,0,6,15,73,24,0,4,122,9.63,12.67
West Mecklenburg High School,3.70297E+11,Mecklenburg County,37,http://westmecklenburghighschool.wearecms.com,7400 Tuckaseegee Rd,11-City: Large,35.2474,-80.952168,NC-600-579,High,1211,1201,0,54,438,652,38,1,28,1211,75.86,15.96
Westerly Hills Academy,3.70297E+11,Mecklenburg County,37,http://westerlyhillsacademy.wearecms.com,4420 Denver Ave,11-City: Large,35.2319,-80.9115,NC-600-577,Elementary,392,389,2,11,114,246,7,0,12,392,26.34,14.88
Whitewater Academy,3.70297E+11,Mecklenburg County,37,http://whitewateracademy.wearecms.com,11600 White Rapids Rd,41-Rural: Fringe,35.283354,-80.990404,NC-600-318,Elementary,764,761,2,48,294,343,57,2,18,764,50.18,15.23
William Amos Hough High,3.70297E+11,Mecklenburg County,37,http://williamamoshoughhighschool.wearecms.com,12420 Bailey Rd,41-Rural: Fringe,35.468143,-80.828093,NC-600-312,High,2470,166,1,86,300,262,1737,3,81,2470,116.98,21.11
Winding Springs Elementary,3.70297E+11,Mecklenburg County,37,http://windingspringselementaryschool.wearecms.com,6601 Horace Mann Rd,11-City: Large,35.3064,-80.8286,NC-600-586,Elementary,742,739,0,11,330,368,18,1,14,742,46.14,16.08
Windsor Park Elementary,3.70297E+11,Mecklenburg County,37,http://windsorparkelementaryschool.wearecms.com,3910 Sudbury Rd,11-City: Large,35.2232,-80.7599,NC-600-587,Elementary,510,507,2,47,330,95,17,2,17,510,33.43,15.26
Winterfield Elementary,3.70297E+11,Mecklenburg County,37,http://winterfieldelementaryschool.wearecms.com,3100 Winterfield Pl,11-City: Large,35.208,-80.767,NC-600-589,Elementary,615,612,0,51,404,139,16,1,4,615,37.81,16.27
