school_name,location_address_1,scl_pct_nonwhite,tract_pct_nonwhite,median_gross_rent,median_owner_cost_mortgage
Lebanon Road Elementary,7300 Lebanon Rd,91.5,16.2,2006,1462
Levine Middle College High Sch,2800 Campus Ridge Rd,43.3,14.6,1100,1656
Mallard Creek High School,3825 Johnston Oehler Rd,91.4,70.1,1547,1658
Martin Luther King Jr Middle,500 Bilmark Ave,98.6,92.4,940,873
Matthews Elementary,200 E McDowell St,45,27.1,1403,1687
McAlpine Elementary,9100 Carswell Ln,50.6,17.1,1182,2027
McKee Road Elementary,4101 McKee Rd,52.3,33.9,1712,2413
Merancas Middle College-CPCC,12010 Verhoeff Dr,65.3,23.5,NA,1605
Merry Oaks International Acad,3508 Draper Ave,96.1,45.1,1165,1525
Mint Hill Middle,11501 Idlewild Road,64.4,26,1131,1765
Montclaire Elementary,5801 Farmbrook Dr,95.1,39.8,1184,1688
Nations Ford Elementary,7050 Nations Ford Rd,99.3,89.3,1264,951
Newell Elementary,325 Rocky River Road West,97.8,45.2,826,1333
Niner University Elementary,2414 Lester Street,98.3,96.6,945,922
Oakdale Elementary,1825 Oakdale Rd,95.5,77.3,1618,1198
Olde Providence Elementary,3800 Rea Rd,26.4,8.9,1214,2657
Olympic High School,4301 Sandy Porter Rd,87.2,58.7,NA,1235
Palisades Park Elementary,15321 York Rd,72.6,40.5,3075,2470
Parkside Elementary,2945 Johnston-Oehler Rd,94.4,70.1,1547,1658
Performance Learning Center,2300 W Sugar Creek Road,89,69.6,1440,1172
Pineville Elementary,204 Lowry St,71.3,33,1041,1160
Pinewood Elementary,805 Seneca Pl,93,19.8,1826,1557
Piney Grove Elementary,8801 Eaglewind Dr,94.1,79.4,1229,984
Polo Ridge Elementary,11830 Tom Short Rd,53.7,64.6,1745,2165
Providence High School,1800 Pineville-Matthews Rd,32.5,49.9,1448,2362
Providence Spring Elementary,10045 Providence Church Ln,23,33.9,1712,2413
Rama Road Elementary,1035 Rama Rd,79.9,7.1,1499,2387
Reedy Creek Elementary,10801 Plaza Rd Ext,93,68.4,1562,1630
Reid Park Academy,4108 W Tyvola Rd,98.1,96.6,945,922
Renaissance West STEAM Academy,3241 New Renaissance Way,99.3,95.6,579,NA
Ridge Road Middle,7260 Highland Creek Pkwy,89.6,61.5,1334,1642
River Gate Elementary,15340 Smith Rd,79.9,69.8,1689,1545
River Oaks Academy,1015 Mt Holly-Huntersville Rd,95.3,90.7,1364,1381
Rocky River High School,10505 Clear Creek Commerce Dr,96.2,25.5,862,1488
Sedgefield Middle,2700 Dorchester Pl,60,13.2,1598,2139
Selwyn Elementary,2840 Colony Rd,28.5,12.4,1632,2325
Sharon Elementary,4330 Foxcroft Rd,24.6,14.4,1385,4001
Smithfield Elementary,3200 Smithfield Church Rd,64.5,27.4,1469,2111
South Charlotte Middle,8040 Strawberry Ln,36.9,27,1285,2367
Southwest Middle School,13624 Steele Creek Rd,87,78.3,1359,1519
Starmount Academy of Excellen,1600 Brookdale Ave,97,55.4,1161,1589
Steele Creek Elementary,4100 Gallant Ln,95.9,58.7,NA,1235
Sterling Elementary,9601 China Grove Church Rd,97.9,72.5,1256,1831
Stoney Creek Elementary,14015 Mallard Roost Rd,95.9,51.1,1238,1605
Thomasboro Academy,538 Bradford Dr,98.3,94.3,1029,876
University Meadows Elementary,1600 Pavilion Blvd,95.3,72.1,875,NA
Villa Heights Elementary,800 Everett Place,80.3,54.2,1343,1955
West Mecklenburg High School,7400 Tuckaseegee Rd,96.9,68.4,1347,1207
Westerly Hills Academy,4420 Denver Ave,98.2,85.6,1073,886
Whitewater Academy,11600 White Rapids Rd,92.5,59.7,788,1238
William Amos Hough High,12420 Bailey Rd,29.7,7.7,1221,2120
Winding Springs Elementary,6601 Horace Mann Rd,97.6,90.1,1126,1115
Windsor Park Elementary,3910 Sudbury Rd,96.7,74.7,1088,1309
Winterfield Elementary,3100 Winterfield Pl,97.4,75,1024,1272
