geoid,ncessch,school_name,street_location,city_location,enrollment,school_level,school_type,school_age_kids_in_tract,tract_pct_nonwhite,market_share_total,scl_pct_nonwhite,share_frl_eligible,meps_poverty_pct,student_teacher_ratio,test_sfh_pct,median_gross_rent,median_owner_cost_mortgage,percent_renter_occupied,percent_owner_occupied
37119001509,370297001198,Briarwood Academy,1001 Wilann Dr,Charlotte,679,Primary,Regular school,1581,96.5,0.304282494365139,96.5,99.6,32.8,16.6,71,1100,1044,33,67
37119004102,370297001253,Bruns Avenue Elementary School,501 S. Bruns Ave,Charlotte,308,Primary,Regular school,448,60.9,0.40714285714285714,97.4,99,33.5,11.8,36,1466,2150,55,45
37119005712,370297002324,Butler High School,1810 Matthews-Mint Hill Rd,Matthews,1965,High,Regular school,749,17,0.7698815566835872,68.1,21.2,11,18.9,97,1453,1444,10,90
37119003020,370297001200,Carmel Middle School,5001 Camilla Dr,Charlotte,1159,Middle,Regular school,1155,5.7,0.3374880153403643,51.4,20.5,3.1,17.3,90,NA,3391,4,96
37119005616,370297003000,Cato Middle College High School,8120 Grier Rd   Suite 171-B,Charlotte,166,High,Regular school,893,71.3,0.5619694397283531,82.5,18.7,11.2,41.5,77,1744,1122,39,61
37119001801,370297002782,Chantilly Montessori,701 Briar Creek Rd,Charlotte,302,Primary,Regular school,219,39.9,0.6189336689499252,34.1,6,8.2,15.9,49,1012,1426,73,27
37119005604,370297003315,Charlotte Engineering Early College,9000 Robert Snyder Rd,Charlotte,299,High,Regular school,38,45.2,0.15225424981522542,73.2,18.4,12.7,21.4,25,826,1333,79,21
37119004800,370297003405,Charlotte-Mecklenburg Virtual High School,1900 Newcastle St,Charlotte,795,High,Regular school,589,96.3,0.6189336689499252,81.8,34.3,NA,46.8,75,926,783,62,38
37119003902,370297001194,Charles H. Parker Academic Center,1546 Walton Rd,Charlotte,473,Primary,Regular school,1323,96.6,0.759493670886076,91.8,99.4,34,12.8,51,945,922,66,34
37119001607,370297003467,Charlotte East Language Academy,6108 Wilora Lake Rd,Charlotte,743,Primary,Regular school,1326,83,0.8813868613138686,95.3,99.1,34.5,12.8,26,1136,1228,78,22
37119005604,370297003418,Charlotte Teacher Early College,9000 Robert D. Snyder Rd,Charlotte,206,High,Regular school,38,45.2,0.15225424981522542,86.4,26.7,12.3,41.2,25,826,1333,79,21
37119005405,370297002169,Charlotte-Mecklenburg Academy,5833 Millhaven Lane,Charlotte,74,Other,Special education school,658,94.7,0.68140589569161,78.4,95.9,21.2,3.4,75,1252,1014,36,64
37119003810,370297003611,Charlotte-Mecklenburg Virtual Elementary School,1900 Newcastle St,Charlotte,864,Primary,Regular school,1360,89.3,0.603401969561325,90.5,32.4,NA,24.7,46,1264,951,68,32
37119003810,370297003612,Charlotte-Mecklenburg Virtual Middle School,1900 Newcastle St,Charlotte,946,Middle,Regular school,1360,89.3,0.603401969561325,90,41,NA,49.8,46,1264,951,68,32
37119005621,370297001202,Clear Creek Elementary School,13501 Albemarle Rd,Charlotte,462,Primary,Regular school,1766,51.1,0.5118577075098815,76.4,32.9,16.3,16.5,92,1537,1445,21,79
37119001507,370297001203,Cochrane Collegiate Academy,6200 Starhaven Dr,Charlotte,890,High,Regular school,2599,93.9,0.6448598130841121,97.4,99.7,34,16.2,31,1046,998,79,21
37119003102,370297001204,Collinswood Language Academy,5621 Flagstaff Drive,Charlotte,789,Primary,Regular school,604,39.8,0.6189336689499252,76.2,13.7,17.2,15.8,48,1184,1688,57,43
37119005843,370297002783,Community House Middle School,9500 Community House Rd,Charlotte,1498,Middle,Regular school,881,52.2,0.7275132275132276,60.2,6.3,1.4,17.8,72,1862,2031,25,75
37119006411,370297001205,Cornelius Elementary School,21126 Catawba Ave,Cornelius,554,Primary,Regular school,925,44,0.5005636978579482,36.8,18.4,9.5,15,73,1146,1393,31,69
37119002201,370297001206,Cotswold Elementary School,300 Greenwich Rd,Charlotte,391,Primary,Regular school,763,21.7,0.6292517006802721,66.8,43.5,24.5,14.5,54,1207,2718,43,57
37119006015,370297001207,Coulwood STEM Academy,500 Kentberry Dr,Charlotte,625,Middle,Regular school,982,57.2,0.6564344746162928,96.3,99.5,30.7,13.9,94,1767,1318,14,86
37119005866,370297002394,Crestdale Middle School,940 Sam Newell Rd,Matthews,988,Middle,Regular school,619,59.3,0.6189336689499252,53.2,17.7,10.2,18.3,0,1257,957,98,2
37119005508,370297003034,Croft Community Elementary School,4911 Hucks Rd,Charlotte,420,Primary,Regular school,888,51.1,0.538961038961039,87.1,36,12.9,16.8,94,1734,1581,18,82
37119005723,370297000813,Crown Point Elementary School,3335 Sam Newell Rd,Matthews,529,Primary,Regular school,762,67,0.6189336689499252,78.4,35.3,17.2,16.5,29,1308,1161,65,35
37119005511,370297000868,David Cox Road Elementary School,4215 David Cox Rd,Charlotte,697,Primary,Regular school,615,77.9,0.6189336689499252,95.6,99.6,29.2,16.6,11,1280,1245,68,32
37119006403,370297001208,Davidson K-8 School,635 South St,Davidson,1103,Primary,Regular school,710,28,0.35073529411764703,24.9,4.8,2.4,16.7,64,1255,2189,26,74
37119001507,370297001210,Devonshire Elementary School,6500 Barrington Dr,Charlotte,544,Primary,Regular school,2599,93.9,0.6448598130841121,97.4,99.4,32.6,13.9,31,1046,998,79,21
37119003204,370297001268,Dilworth Elementary School: Sedgefield Campus,715 Hartford Ave,Charlotte,346,Primary,Regular school,423,18.6,0.7894736842105263,34.1,12.7,13.1,14.4,44,1340,1998,34,66
37119003500,370297003172,Dilworth Elementary School: Latta Campus,405 E. Park Ave,Charlotte,264,Primary,Regular school,237,10.7,0.5979020979020979,34.1,17,0,13.2,33,1631,2608,39,61
37119005100,370297001213,Druid Hills Academy,2801 Lucena Ave,Charlotte,299,Primary,Regular school,208,89.9,0.6189336689499252,99.7,99,34.2,9.1,62,915,821,70,30
37119001914,370297001214,East Mecklenburg High School,6800 Monroe Rd,Charlotte,2141,High,Regular school,1109,64,0.7609970674486803,81,29.1,17.9,18.1,59,964,1348,61,39
37119002800,370297001215,Eastover Elementary School,500 Cherokee Rd,Charlotte,356,Primary,Regular school,1031,2.5,0.26380368098159507,34.3,22.5,1.5,14.2,80,NA,4001,6,94
37119001702,370297001216,Eastway Middle School,1501 Norland Rd,Charlotte,848,Middle,Regular school,2696,75,0.699625468164794,95.4,99.6,32.3,15.4,44,1024,1272,62,38
37119005833,370297001881,Elizabeth Lane Elementary School,121 Elizabeth Ln,Matthews,803,Primary,Regular school,1028,20.6,0.4769372693726937,32.3,3.9,2.7,14.9,72,2865,1895,23,77
37119002500,370297001217,Elizabeth Traditional Elementary School,1601 Park Dr,Charlotte,450,Primary,Regular school,226,19.4,0.425414364640884,90.7,43.1,11.6,14.1,15,1482,2970,74,26
37119005858,370297002826,Elon Park Elementary School,11425 Ardrey Kell Rd,Charlotte,835,Primary,Regular school,1570,55.6,0.9208185053380784,58.7,3.4,1,15.5,35,1752,1598,59,41
37119005839,370297002675,Endhaven Elementary School,6815 Endhaven Ln,Charlotte,640,Primary,Regular school,486,32.3,0.7146666666666667,61.6,14.8,7.4,16,46,1262,1963,54,46
37119000600,370297001211,First Ward Creative Arts Academy,715 N. Caldwell St,Charlotte,528,Primary,Regular school,505,56.5,0.6506849315068494,95.1,99.4,32.6,13.2,7,1351,2048,76,24
37119006222,370297002395,Francis Bradley Middle School,13345 Beatties Ford Rd,Huntersville,1075,Middle,Regular school,1105,20.7,0.37537537537537535,63.2,20.5,9,17.6,98,784,1740,8,92
37119001300,370297003245,Garinger High School,1100 Eastway Dr,Charlotte,1643,High,Regular school,581,53.5,0.5548489666136724,96.4,99.8,31.3,16,64,1072,1851,53,47
37119005536,370297001886,Governor's Village STEM Academy (Lower),7910 Neal Rd,Charlotte,852,Primary,Regular school,854,69.6,0.879948914431673,96.7,43.8,33.1,15.8,44,1440,1172,57,43
37119005536,370297002396,Governor's Village STEM Academy (Upper),7810 Neal Rd,Charlotte,760,Middle,Regular school,854,69.6,0.879948914431673,97.6,42.2,30.1,18.1,44,1440,1172,57,43
37119006211,370297003273,Grand Oak Elementary School,15410 Stumptown Rd,Huntersville,456,Primary,Regular school,1871,17.2,0.4105665181413113,27.4,8.6,4.6,13.8,91,1464,2036,10,90
37119001927,370297001598,Greenway Park Elementary School,8301 Monroe Rd,Charlotte,544,Primary,Regular school,817,88.3,0.8470588235294118,89.7,99.4,32.2,13.3,0,1115,NA,100,0
37119004000,370297001221,Harding University High School,2001 Alleghany St,Charlotte,1619,High,Regular school,1199,85.6,0.6032461677186655,98.3,99.8,33.2,17.8,66,1073,886,54,46
37119005916,370297003313,Harper Middle College High School,315 W Hebron St,Charlotte,164,High,Regular school,799,94.1,0.7951388888888888,66.5,4.3,11.9,32.8,42,1128,1009,71,29
37119005843,370297002471,Hawk Ridge Elementary School,9201 Bryant Farms Rd,Charlotte,698,Primary,Regular school,881,52.2,0.7275132275132276,56.3,8.7,2.4,14.5,72,1862,2031,25,75
37119000800,370297002228,Hawthorne Academy of Health Sciences,1411 Hawthorne Ln,Charlotte,307,High,Regular school,646,75,0.6476190476190476,96.1,32.2,20.4,17.1,44,1051,1512,54,46
37119001922,370297001223,Hickory Grove Elementary School,6709 Pence Rd,Charlotte,620,Primary,Regular school,1973,77.7,0.6452955870108243,97.3,99.5,32.5,17.2,87,1187,1271,31,69
37119005305,370297001224,Hidden Valley Elementary School,5100 Snow White Ln,Charlotte,860,Primary,Regular school,1590,98.6,0.9431968295904888,98.4,99.7,31.8,14.6,69,1071,1025,61,39
37119005519,370297002877,Highland Creek Elementary School,7242 Highland Creek Pkwy,Charlotte,412,Primary,Regular school,1943,61.5,0.5914634146341463,63.6,20.4,9.2,12.9,48,1334,1642,51,49
37119001400,370297002638,Highland Mill Montessori,3201 Clemson Ave,Charlotte,313,Primary,Regular school,551,46.1,0.6030927835051546,63.3,8.9,7.4,13.6,55,1518,1725,48,52
37119005301,370297001225,Highland Renaissance Academy,125 W Craighead Rd,Charlotte,381,Primary,Regular school,2150,89,0.44510135135135137,96.6,99.2,32.9,15.9,41,934,1217,71,29
37119006223,370297002593,Hopewell High School,11530 Beatties Ford Rd,Huntersville,1809,High,Regular school,806,35.5,0.5,74.2,24.5,9.1,18.3,83,1844,1553,19,81
37119006109,370297002309,Hornets Nest Elementary School,6700 Beatties Ford Rd,Charlotte,580,Primary,Regular school,748,87.3,0.6215022091310751,97.4,99.5,31.8,18.1,76,1033,1191,49,51
37119006309,370297001226,Huntersville Elementary School,200 Gilead Rd,Huntersville,747,Primary,Regular school,577,36.2,0.7785547785547785,37.6,11.9,10,15.6,49,1066,1144,47,53
37119003105,370297001227,Huntingtowne Farms Elementary School,2520 Huntingtowne Farms Ln,Charlotte,859,Primary,Regular school,687,10.7,0.5995893223819302,89.8,31.9,27.8,15.6,66,1488,1747,14,86
37119001919,370297001228,Idlewild Elementary School,7101 Idlewild Rd,Charlotte,925,Primary,Regular school,1383,75.6,0.6189336689499252,93.1,99.7,34.4,15.2,63,970,1226,42,58
37119001917,370297001229,Independence High School,1967 Patriot Dr,Charlotte,1992,High,Regular school,1661,66.9,0.5394295302013423,77.6,25.9,16,16.5,77,1186,1095,50,50
37119000502,370297000682,Irwin Academic Center,329 N. Irwin Ave,Charlotte,390,Primary,Regular school,277,42.4,0.3730569948186528,78.5,14.9,13.1,16.2,0,1359,NA,92,8
37119005627,370297001231,J. H. Gunn Elementary School,7400 Harrisburg Rd,Charlotte,609,Primary,Regular school,3053,75.7,0.6116870876531574,96.4,99.5,32.1,14.5,85,1456,1347,21,79
37119006306,370297001189,J. M. Alexander Middle School,12010 Hambright Rd,Huntersville,856,Middle,Regular school,235,23.5,0.6189336689499252,91,34,14,17.5,98,NA,1605,7,93
37119006411,370297002891,J. V. Washam Elementary School,9611 Westmoreland Rd,Cornelius,861,Primary,Regular school,925,44,0.5005636978579482,31.4,11.7,4.7,15.9,73,1146,1393,31,69
37119005536,370297002325,James Martin Middle School,6301 University Pointe Blvd,Charlotte,690,Middle,Regular school,854,69.6,0.879948914431673,95.4,99.6,31,18.2,44,1440,1172,57,43
37119005845,370297002639,Jay M. Robinson Middle School,5925 Ballantyne Commons Pkwy,Charlotte,1262,Middle,Regular school,1483,64.6,0.8552544613350959,51.7,5.5,0,17.5,55,1745,2165,38,62
37119005616,370297002676,Joseph W. Grier Academy,8330 Grier Rd,Charlotte,693,Primary,Regular school,893,71.3,0.5619694397283531,96,99.6,32.3,15.4,77,1744,1122,39,61
37119005536,370297002326,Julius L. Chambers High School,7600 IBM Dr,Charlotte,2059,High,Regular school,854,69.6,0.879948914431673,97.6,99.9,30.5,19.2,44,1440,1172,57,43
37119005928,370297001232,Kennedy Middle School,4000 Gallant Ln,Charlotte,936,Middle,Regular school,263,58.7,0.7486486486486487,88.7,26.8,17,18.7,94,NA,1235,15,85
37119005929,370297000614,Lake Wylie Elementary School,13620 Erwin Rd,Charlotte,614,Primary,Regular school,914,62.8,0.5491990846681922,89.9,34.4,17.8,17.1,40,1617,1554,29,71
37119002004,370297001234,Lansdowne Elementary School,6400 Prett Ct,Charlotte,481,Primary,Regular school,1459,48.7,0.4319526627218935,64.9,36.6,8.4,13.7,51,1309,1994,43,57
37119001609,370297003363,Lawrence Orr Elementary School,4835 Shamrock Dr,Charlotte,750,Primary,Regular school,940,84.9,0.6845827439886846,96.1,99.6,33.1,17.4,40,1063,1223,60,40
37119005721,370297002266,Lebanon Road Elementary School,7300 Lebanon Rd,Charlotte,730,Primary,Regular school,499,16.2,0.5668549905838042,91.5,99.5,31.4,16.2,71,2006,1462,28,72
37119005835,370297003318,Levine Middle College High School,2800 Campus Ridge Rd,Matthews,233,High,Regular school,691,14.6,0.5742251223491027,43.3,3.4,8.5,46.6,91,1100,1656,12,88
37119006105,370297001236,Long Creek Elementary School,9213-A Beatties Ford Rd,Huntersville,496,Primary,Regular school,725,69.8,0.6476868327402135,90.7,38.7,16.4,12.1,97,1652,1558,28,72
37119005527,370297002198,Mallard Creek Elementary School,9801 Mallard Creek Rd,Charlotte,515,Primary,Regular school,764,58.1,0.4279379157427938,94.4,43.1,14.7,15.6,54,1103,1570,44,56
37119005530,370297002811,Mallard Creek High School,3825 Johnston Oehler Rd,Charlotte,2281,High,Regular school,828,70.1,0.7705223880597015,91.4,27.6,10.4,19.2,72,1547,1658,28,72
37119003702,370297003420,Marie G. Davis School,3351 Griffith St,Charlotte,395,Primary,Regular school,648,55.3,0.7020725388601037,99.7,99.2,35.4,12,7,1412,1691,91,9
37119005306,370297002784,Martin Luther King Jr. Middle School,500 Bilmark Ave,Charlotte,957,Middle,Regular school,778,92.4,0.6189336689499252,98.6,99.7,31.8,19.1,56,940,873,52,48
37119005834,370297001238,Matthews Elementary School,200 E McDowell St,Matthews,827,Primary,Regular school,1057,27.1,0.7341463414634146,45,16.6,9.2,16.9,84,1403,1687,38,62
37119005852,370297002166,McAlpine Elementary School,9100 Carswell Ln,Charlotte,498,Primary,Regular school,188,17.1,0.6189336689499252,50.6,11.8,6.5,17.2,36,1182,2027,62,38
37119001914,370297001239,McClintock Middle School,1925 Rama Rd,Charlotte,1142,Middle,Regular school,1109,64,0.7609970674486803,86.3,98.7,34.2,16.8,59,964,1348,61,39
37119005847,370297002219,McKee Road Elementary School,4101 McKee Rd,Charlotte,511,Primary,Regular school,1254,33.9,0.49879129734085415,52.3,6.8,4.2,14.6,65,1712,2413,23,77
37119006306,370297003421,Merancas Middle College High School,12010 Verhoeff Dr,Huntersville,173,High,Regular school,235,23.5,0.6189336689499252,65.3,9.8,6.3,43.2,98,NA,1605,7,93
37119001200,370297002167,Merry Oaks International Academy,3508 Draper Ave,Charlotte,616,Primary,Regular school,1466,45.1,0.8629807692307693,96.1,99.5,27.3,15.8,65,1165,1525,42,58
37119980300,370297001241,Metro School,405 S. Davidson St,Charlotte,186,Other,Special education school,0,58.6,0.08333333333333333,82.3,37.1,20.9,4.7,0,NA,NA,0,100
37119000800,370297003042,Military and Global Leadership Academy,1411 Hawthorne Lane Ste A,Charlotte,185,High,Regular school,646,75,0.6476190476190476,94.6,27.6,32,11.6,44,1051,1512,54,46
37119005720,370297002677,Mint Hill Middle School,11501 Idlewild Road,Matthews,923,Middle,Regular school,344,26,0.5559322033898305,64.4,22.5,10.1,17.4,91,1131,1765,17,83
37119003102,370297001243,Montclaire Elementary School,5801 Farmbrook Dr,Charlotte,546,Primary,Regular school,604,39.8,0.6189336689499252,95.1,99.5,29.2,15.2,48,1184,1688,57,43
37119006110,370297002640,Mountain Island Lake Academy,7905 Pleasant Grove Rd,Charlotte,732,Primary,Regular school,1557,77.3,0.7930131004366813,90.7,44.9,28.3,16.3,93,1618,1198,33,67
37119002909,370297001244,Myers Park High School,2400 Colony Rd,Charlotte,3539,High,Regular school,383,12.4,0.47384615384615386,40.1,17.9,0,20.5,20,1632,2325,69,31
37119002702,370297001245,Myers Park Traditional Elementary School,2132 Radcliffe Ave,Charlotte,607,Primary,Regular school,1512,10.4,0.33480500367917587,58.8,25.4,3.9,15.6,66,1549,4001,18,82
37119003810,370297001246,Nations Ford Elementary School,7050 Nations Ford Rd,Charlotte,709,Primary,Regular school,1360,89.3,0.603401969561325,99.3,99.6,33.4,15.8,46,1264,951,68,32
37119005720,370297003623,New Southeast Elementary Relief School,11615 Idlewild Road,Matthews,NA,Missing/not reported,Regular school,344,26,0.5559322033898305,NA,NA,NA,NA,91,1131,1765,17,83
37119005604,370297001247,Newell Elementary School,325 Rocky River Road West,Charlotte,715,Primary,Regular school,38,45.2,0.15225424981522542,97.8,99.6,31.6,15.2,25,826,1333,79,21
37119006306,370297003557,North Academy of World Languages,12201 Hambright Rd,Huntersville,368,Primary,Regular school,235,23.5,0.6189336689499252,73.4,20.9,NA,12.7,98,NA,1605,7,93
37119006306,370297001248,North Mecklenburg High School,11201 Old Statesville Rd,Huntersville,2095,High,Regular school,235,23.5,0.6189336689499252,90.8,26,13.9,18.2,98,NA,1605,7,93
37119001917,370297001249,Northeast Middle School,5960 Brickstone Dr,Mint Hill,572,Middle,Regular school,1661,66.9,0.5394295302013423,85.8,36.5,32.6,14.7,77,1186,1095,50,50
37119005616,370297001889,Northridge Middle School,7601 The Plaza,Charlotte,1041,Middle,Regular school,893,71.3,0.5619694397283531,95.7,38.2,33,17.6,77,1744,1122,39,61
37119004600,370297001250,Northwest School of the Arts,1415 Beatties Ford Rd,Charlotte,1039,High,Regular school,492,97.8,0.6189336689499252,65.7,18.8,16.2,17.6,80,1100,883,54,46
37119006110,370297001251,Oakdale Elementary School,1825 Oakdale Rd,Charlotte,449,Primary,Regular school,1557,77.3,0.7930131004366813,95.5,99.3,31.4,12.1,93,1618,1198,33,67
37119001802,370297003368,Oakhurst STEAM Academy,4511 Monroe Rd,Charlotte,529,Primary,Regular school,568,42.9,0.6585365853658537,82.6,99.4,34.7,14.7,47,936,1301,56,44
37119004800,370297002737,Oaklawn Language Academy,1810 Oaklawn Ave,Charlotte,545,Primary,Regular school,589,96.3,0.6189336689499252,93.4,26.4,22.3,12.7,75,926,783,62,38
37119003013,370297001254,Olde Providence Elementary School,3800 Rea Rd,Charlotte,639,Primary,Regular school,1250,8.9,0.6513274336283186,26.4,7.5,1,15.6,86,1214,2657,5,95
37119005926,370297003622,Olympic High Relief School,14947 York Road,Charlotte,NA,Missing/not reported,Regular school,1630,40.5,0.7588850174216027,NA,NA,NA,NA,99,3075,2470,8,92
37119005928,370297001255,Olympic High School,4301 Sandy Porter Rd,Charlotte,2607,High,Regular school,263,58.7,0.7486486486486487,87.2,22.4,13,19.2,94,NA,1235,15,85
37119005926,370297003310,Palisades Park Elementary School,15321 York Rd,Charlotte,821,Primary,Regular school,1630,40.5,0.7588850174216027,72.6,14.9,9.2,18.7,99,3075,2470,8,92
37119003204,370297001256,Park Road Montessori,3701 Haven Dr,Charlotte,504,Primary,Regular school,423,18.6,0.7894736842105263,36.7,5.8,5.5,16.8,44,1340,1998,34,66
37119005530,370297003369,Parkside Elementary School,2945 Johnston-Oehler Rd,Charlotte,377,Primary,Regular school,828,70.1,0.7705223880597015,94.4,40.8,13.7,15.1,72,1547,1658,28,72
37119006015,370297001257,Paw Creek Elementary School,1300 Cathey Rd,Charlotte,727,Primary,Regular school,982,57.2,0.6564344746162928,94.2,99.6,34.7,16.2,94,1767,1318,14,86
37119005536,370297002842,Performance Learning Center,2300 W Sugar Creek Road,Charlotte,73,High,Regular school,854,69.6,0.879948914431673,89,47.9,30.9,5.2,44,1440,1172,57,43
37119004000,370297002641,Phillip O. Berry Academy of Technology,1430 Alleghany St,Charlotte,1723,High,Regular school,1199,85.6,0.6032461677186655,96.5,28.8,18.9,18.5,66,1073,886,54,46
37119000800,370297001259,Piedmont Middle School,1241 E 10th St,Charlotte,1090,Middle,Regular school,646,75,0.6476190476190476,80.8,20.6,13.7,22.7,44,1051,1512,54,46
37119005868,370297001260,Pineville Elementary School,204 Lowry St,Pineville,715,Primary,Regular school,556,33,0.27647058823529413,71.3,31.9,16.8,14.9,53,1041,1160,39,61
37119003110,370297001261,Pinewood Elementary School,805 Seneca Pl,Charlotte,526,Primary,Regular school,241,19.8,0.8897058823529411,93,99.4,30.6,14.6,79,1826,1557,22,78
37119001921,370297001262,Piney Grove Elementary School,8801 Eaglewind Dr,Charlotte,762,Primary,Regular school,804,79.4,0.7168576104746317,94.1,99.6,32,16.2,98,1229,984,30,70
37119005845,370297003032,Polo Ridge Elementary School,11830 Tom Short Rd,Charlotte,572,Primary,Regular school,1483,64.6,0.8552544613350959,53.7,3,0,14.3,55,1745,2165,38,62
37119003016,370297002220,Providence High School,1800 Pineville-Matthews Rd,Charlotte,2025,High,Regular school,1337,49.9,0.7057808455565142,32.5,5.2,2.7,20.2,38,1448,2362,54,46
37119005847,370297002642,Providence Spring Elementary School,10045 Providence Church Ln,Charlotte,578,Primary,Regular school,1254,33.9,0.49879129734085415,23,0.7,0,15.6,65,1712,2413,23,77
37119003012,370297001264,Quail Hollow Middle School,2901 Smithfield Church Rd,Charlotte,1193,Middle,Regular school,1170,27.4,0.6046228710462287,82.7,38.1,26.7,17,55,1469,2111,47,53
37119002006,370297001265,Rama Road Elementary School,1035 Rama Rd,Charlotte,508,Primary,Regular school,860,7.1,0.4526315789473685,79.9,99.4,26.3,13.4,82,1499,2387,24,76
37119002201,370297001266,Randolph Middle School,4400 Water Oak Rd,Charlotte,1138,Middle,Regular school,763,21.7,0.6292517006802721,68.3,19.5,10.5,18.7,54,1207,2718,43,57
37119005403,370297001267,Ranson Middle School,5850 Statesville Rd,Charlotte,854,Middle,Regular school,1605,90.1,0.5118155619596542,97.7,99.1,32.6,14.7,86,1126,1115,35,65
37119005845,370297003517,Rea Farms STEAM Academy,11532 Golf Links Drive,Charlotte,961,Primary,Regular school,1483,64.6,0.8552544613350959,57,7.2,NA,15,55,1745,2165,38,62
37119005618,370297002170,Reedy Creek Elementary School,10801 Plaza Rd Ext,Charlotte,915,Primary,Regular school,777,68.4,0.5495818399044206,93,36,18.9,17.3,97,1562,1630,18,82
37119003902,370297001212,Reid Park Academy,4108 W Tyvola Rd,Charlotte,364,Primary,Regular school,1323,96.6,0.759493670886076,98.1,99.2,33.7,15.2,51,945,922,66,34
37119003903,370297003417,Renaissance West STEAM Academy,3241 New Renaissance Way,Charlotte,674,Primary,Regular school,865,95.6,0.6189336689499252,99.3,99.6,34.3,12.7,22,579,NA,94,6
37119005519,370297003121,Ridge Road Middle School,7260 Highland Creek Pkwy,Charlotte,1113,Middle,Regular school,1943,61.5,0.5914634146341463,89.6,36.9,13.3,17.4,48,1334,1642,51,49
37119005918,370297003123,River Gate Elementary School,15340 Smith Rd,Charlotte,675,Primary,Regular school,1620,69.8,0.6572908956328646,79.9,27.6,12.2,16.5,99,1689,1545,20,80
37119006013,370297003128,River Oaks Academy,1015 Mt Holly-Huntersville Rd,Charlotte,558,Primary,Regular school,1364,90.7,0.8474178403755869,95.3,47.3,30,16.4,98,1364,1381,18,82
37119005719,370297003173,Rocky River High School,10505 Clear Creek Commerce Dr,Mint Hill,1549,High,Regular school,516,25.5,0.7906137184115524,96.2,35,16.6,18.7,91,862,1488,18,82
37119003302,370297001269,Sedgefield Middle School,2700 Dorchester Pl,Charlotte,508,Middle,Regular school,371,13.2,0.9868995633187772,60,99.4,25.6,13.4,53,1598,2139,39,61
37119002909,370297001270,Selwyn Elementary School,2840 Colony Rd,Charlotte,618,Primary,Regular school,383,12.4,0.47384615384615386,28.5,11.2,0,15.1,20,1632,2325,69,31
37119004800,370297001271,Shamrock Gardens Elementary School,1900 Newcastle St,Charlotte,427,Primary,Regular school,589,96.3,0.6189336689499252,55.5,99.3,33.7,14.7,75,926,783,62,38
